
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2370135028E+05   0.8301551896E+06   35.02565    1.30229
   27 0.7469153543E+02  0.3255571435E+05   0.7222286341E+06   22.18439    1.49906
   26 0.7151633858E+02  0.5898884437E+05   0.9086591415E+06   15.40391    1.19543
   25 0.6834114173E+02  0.7674197129E+05   0.9618728589E+06   12.53386    1.13706
   24 0.6600354331E+02  0.8588310474E+05   0.9229453548E+06   10.74653    1.19655
   23 0.6366594488E+02  0.1041622494E+06   0.1000912344E+07    9.60917    1.10916
   22 0.6049074803E+02  0.1230478724E+06   0.1042179514E+07    8.46971    1.07956
   21 0.5731555118E+02  0.1397104194E+06   0.1077277030E+07    7.71079    1.06119
   20 0.5414035433E+02  0.1550656807E+06   0.1113285445E+07    7.17944    1.04583
   19 0.5096515748E+02  0.1689862681E+06   0.1155469702E+07    6.83765    1.02853
   18 0.4778996063E+02  0.1792530436E+06   0.1198799349E+07    6.68775    1.01396
   17 0.4545236220E+02  0.1775845546E+06   0.1167251888E+07    6.57294    1.06666
   16 0.4311476378E+02  0.1947830256E+06   0.1233641057E+07    6.33341    1.02054
   15 0.3993956693E+02  0.2053383497E+06   0.1281154271E+07    6.23924    1.00761
   14 0.3676437008E+02  0.2113384920E+06   0.1325489414E+07    6.27188    1.00000
   13 0.3358917323E+02  0.2144973996E+06   0.1361982558E+07    6.34965    1.00000
   12 0.3041397638E+02  0.2144886606E+06   0.1399933412E+07    6.52684    1.00000
   11 0.2723877953E+02  0.2087564376E+06   0.1438785149E+07    6.89217    1.00000
   10 0.2490118110E+02  0.1931299102E+06   0.1477399942E+07    7.64977    1.00000
    9 0.2253484252E+02  0.1973708176E+06   0.1494414601E+07    7.57161    1.00000
    8 0.1930216535E+02  0.1868011714E+06   0.1531568744E+07    8.19892    1.00000
    7 0.1606948819E+02  0.1695451778E+06   0.1567377945E+07    9.24460    1.00000
    6 0.1283661417E+02  0.1475774862E+06   0.1600428683E+07   10.84467    1.00000
    5 0.9603740157E+01  0.1209362545E+06   0.1629680417E+07   13.47553    1.00000
    4 0.6371062992E+01  0.9095556459E+05   0.1654046629E+07   18.18522    1.00000
    3 0.3138385827E+01  0.4752560866E+05   0.1672672134E+07   35.19518    1.00000
    2 0.7610236220E+00  0.3291467141E+05   0.1683419422E+07   51.14496    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2370133813E+05   0.8701276899E+06   36.71218    1.31519
   27 0.7469153543E+02  0.3255570270E+05   0.7549257733E+06   23.18874    1.51298
   26 0.7151633858E+02  0.5898883456E+05   0.9468357788E+06   16.05110    1.20445
   25 0.6834114173E+02  0.7674196348E+05   0.9975258714E+06   12.99844    1.14627
   24 0.6600354331E+02  0.8588310151E+05   0.9547067596E+06   11.11635    1.20527
   23 0.6366594488E+02  0.1041622484E+06   0.1035734216E+07    9.94347    1.11622
   22 0.6049074803E+02  0.1230478759E+06   0.1081916724E+07    8.79265    1.08448
   21 0.5731555118E+02  0.1397104250E+06   0.1118897730E+07    8.00869    1.06505
   20 0.5414035433E+02  0.1550655328E+06   0.1155841649E+07    7.45389    1.04884
   19 0.5096515748E+02  0.1689862191E+06   0.1198898160E+07    7.09465    1.03075
   18 0.4778996063E+02  0.1792530248E+06   0.1242238528E+07    6.93008    1.01634
   17 0.4545236220E+02  0.1775842119E+06   0.1208088817E+07    6.80291    1.07002
   16 0.4311476378E+02  0.1947830156E+06   0.1278007398E+07    6.56118    1.02322
   15 0.3993956693E+02  0.2053383389E+06   0.1329769054E+07    6.47599    1.01106
   14 0.3676437008E+02  0.2113384627E+06   0.1377733032E+07    6.51908    1.00387
   13 0.3358917323E+02  0.2144973162E+06   0.1423597820E+07    6.63690    1.00000
   12 0.3041397638E+02  0.2144886629E+06   0.1466014363E+07    6.83493    1.00000
   11 0.2723877953E+02  0.2087564394E+06   0.1509977036E+07    7.23320    1.00000
   10 0.2490118110E+02  0.1931299112E+06   0.1554397189E+07    8.04845    1.00000
    9 0.2253484252E+02  0.1973708182E+06   0.1574380566E+07    7.97676    1.00000
    8 0.1930216535E+02  0.1868011707E+06   0.1619393317E+07    8.66907    1.00000
    7 0.1606948819E+02  0.1695451766E+06   0.1662862346E+07    9.80778    1.00000
    6 0.1283661417E+02  0.1475774854E+06   0.1703354352E+07   11.54210    1.00000
    5 0.9603740157E+01  0.1209362544E+06   0.1739535491E+07   14.38390    1.00000
    4 0.6371062992E+01  0.9095556542E+05   0.1769915928E+07   19.45913    1.00000
    3 0.3138385827E+01  0.4752561009E+05   0.1793284628E+07   37.73302    1.00000
    2 0.7610236220E+00  0.3291467035E+05   0.1805807170E+07   54.86329    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2370135724E+05   0.7640433931E+06   32.23627    1.31748
   27 0.7469153543E+02  0.3255572100E+05   0.6694563274E+06   20.56340    1.50807
   26 0.7151633858E+02  0.5898885017E+05   0.8472185511E+06   14.36235    1.19817
   25 0.6834114173E+02  0.7674197451E+05   0.8998326589E+06   11.72543    1.13826
   24 0.6600354331E+02  0.8588310848E+05   0.8657168498E+06   10.08018    1.19684
   23 0.6366594488E+02  0.1041622521E+06   0.9394511290E+06    9.01911    1.10934
   22 0.6049074803E+02  0.1230478731E+06   0.9784675030E+06    7.95193    1.07971
   21 0.5731555118E+02  0.1397104193E+06   0.1012267696E+07    7.24547    1.06116
   20 0.5414035433E+02  0.1550656789E+06   0.1047191899E+07    6.75322    1.04567
   19 0.5096515748E+02  0.1689862897E+06   0.1088051981E+07    6.43870    1.02832
   18 0.4778996063E+02  0.1792530544E+06   0.1130084541E+07    6.30441    1.01369
   17 0.4545236220E+02  0.1775845545E+06   0.1101428975E+07    6.20228    1.06621
   16 0.4311476378E+02  0.1947830368E+06   0.1164096155E+07    5.97637    1.02031
   15 0.3993956693E+02  0.2053383613E+06   0.1208411781E+07    5.88498    1.00756
   14 0.3676437008E+02  0.2113385125E+06   0.1249913598E+07    5.91427    1.00000
   13 0.3358917323E+02  0.2144973983E+06   0.1284071738E+07    5.98642    1.00000
   12 0.3041397638E+02  0.2144886594E+06   0.1319503897E+07    6.15186    1.00000
   11 0.2723877953E+02  0.2087564359E+06   0.1355601743E+07    6.49370    1.00000
   10 0.2490118110E+02  0.1931299096E+06   0.1391246960E+07    7.20368    1.00000
    9 0.2253484252E+02  0.1973708160E+06   0.1406834189E+07    7.12787    1.00000
    8 0.1930216535E+02  0.1868011703E+06   0.1440263539E+07    7.71014    1.00000
    7 0.1606948819E+02  0.1695451764E+06   0.1472280643E+07    8.68371    1.00000
    6 0.1283661417E+02  0.1475774845E+06   0.1501637589E+07   10.17525    1.00000
    5 0.9603740157E+01  0.1209362522E+06   0.1527450994E+07   12.63022    1.00000
    4 0.6371062992E+01  0.9095556209E+05   0.1548830045E+07   17.02843    1.00000
    3 0.3138385827E+01  0.4752560718E+05   0.1565102103E+07   32.93176    1.00000
    2 0.7610236220E+00  0.3291467260E+05   0.1574476865E+07   47.83511    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            1   SURF. No.            4
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2370134646E+05   0.7973754349E+06   33.64262    1.33214
   27 0.7469153543E+02  0.3255571093E+05   0.6986515454E+06   21.46018    1.52167
   26 0.7151633858E+02  0.5898884163E+05   0.8839659160E+06   14.98531    1.20589
   25 0.6834114173E+02  0.7674196934E+05   0.9366851941E+06   12.20564    1.14555
   24 0.6600354331E+02  0.8588310524E+05   0.9005024535E+06   10.48521    1.20338
   23 0.6366594488E+02  0.1041622503E+06   0.9776121049E+06    9.38547    1.11463
   22 0.6049074803E+02  0.1230478721E+06   0.1019802083E+07    8.28785    1.08354
   21 0.5731555118E+02  0.1397104212E+06   0.1055499528E+07    7.55491    1.06415
   20 0.5414035433E+02  0.1550655750E+06   0.1092089269E+07    7.04276    1.04795
   19 0.5096515748E+02  0.1689862259E+06   0.1134936850E+07    6.71615    1.02995
   18 0.4778996063E+02  0.1792530247E+06   0.1178582016E+07    6.57496    1.01540
   17 0.4545236220E+02  0.1775843292E+06   0.1148522433E+07    6.46748    1.06864
   16 0.4311476378E+02  0.1947830131E+06   0.1214646948E+07    6.23590    1.02245
   15 0.3993956693E+02  0.2053383385E+06   0.1261464402E+07    6.14335    1.01076
   14 0.3676437008E+02  0.2113384705E+06   0.1305863171E+07    6.17901    1.00379
   13 0.3358917323E+02  0.2144973413E+06   0.1348665091E+07    6.28756    1.00000
   12 0.3041397638E+02  0.2144886603E+06   0.1388214059E+07    6.47220    1.00000
   11 0.2723877953E+02  0.2087564372E+06   0.1428881643E+07    6.84473    1.00000
   10 0.2490118110E+02  0.1931299100E+06   0.1469429712E+07    7.60850    1.00000
    9 0.2253484252E+02  0.1973708171E+06   0.1487303984E+07    7.53558    1.00000
    8 0.1930216535E+02  0.1868011708E+06   0.1526191188E+07    8.17014    1.00000
    7 0.1606948819E+02  0.1695451771E+06   0.1563548036E+07    9.22201    1.00000
    6 0.1283661417E+02  0.1475774856E+06   0.1597930882E+07   10.82774    1.00000
    5 0.9603740157E+01  0.1209362540E+06   0.1628235365E+07   13.46358    1.00000
    4 0.6371062992E+01  0.9095556431E+05   0.1653342487E+07   18.17747    1.00000
    3 0.3138385827E+01  0.4752560854E+05   0.1672416302E+07   35.18979    1.00000
    2 0.7610236220E+00  0.3291467144E+05   0.1683364514E+07   51.14329    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            2   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2320359736E+05   0.8727738867E+06   37.61373    1.31120
   27 0.7469153543E+02  0.3181389373E+05   0.7574505979E+06   23.80880    1.50794
   26 0.7151633858E+02  0.5737411155E+05   0.9472202207E+06   16.50954    1.20396
   25 0.6834114173E+02  0.7460443516E+05   0.9978697943E+06   13.37548    1.14588
   24 0.6600354331E+02  0.8342187911E+05   0.9544267466E+06   11.44096    1.20562
   23 0.6366594488E+02  0.1012197051E+06   0.1035809110E+07   10.23328    1.11614
   22 0.6049074803E+02  0.1195663605E+06   0.1082087164E+07    9.05010    1.08431
   21 0.5731555118E+02  0.1357311903E+06   0.1119119128E+07    8.24511    1.06484
   20 0.5414035433E+02  0.1506069080E+06   0.1156091314E+07    7.67622    1.04861
   19 0.5096515748E+02  0.1640718616E+06   0.1199156488E+07    7.30873    1.03052
   18 0.4778996063E+02  0.1739814962E+06   0.1242589946E+07    7.14208    1.01606
   17 0.4545236220E+02  0.1722221820E+06   0.1207812339E+07    7.01311    1.07026
   16 0.4311476378E+02  0.1889712751E+06   0.1278095656E+07    6.76344    1.02315
   15 0.3993956693E+02  0.1991846485E+06   0.1329877111E+07    6.67660    1.01098
   14 0.3676437008E+02  0.2049639980E+06   0.1377813997E+07    6.72222    1.00381
   13 0.3358917323E+02  0.2079808553E+06   0.1423597820E+07    6.84485    1.00000
   12 0.3041397638E+02  0.2079230325E+06   0.1466014363E+07    7.05076    1.00000
   11 0.2723877953E+02  0.2023209409E+06   0.1509977036E+07    7.46328    1.00000
   10 0.2490118110E+02  0.1870388240E+06   0.1554397189E+07    8.31056    1.00000
    9 0.2253484252E+02  0.1912368779E+06   0.1574380566E+07    8.23262    1.00000
    8 0.1930216535E+02  0.1809801044E+06   0.1619393317E+07    8.94791    1.00000
    7 0.1606948819E+02  0.1642479235E+06   0.1662862346E+07   10.12410    1.00000
    6 0.1283661417E+02  0.1429551246E+06   0.1703354352E+07   11.91531    1.00000
    5 0.9603740157E+01  0.1171427262E+06   0.1739535491E+07   14.84971    1.00000
    4 0.6371062992E+01  0.8811519665E+05   0.1769915928E+07   20.08639    1.00000
    3 0.3138385827E+01  0.4630892140E+05   0.1793284628E+07   38.72439    1.00000
    2 0.7610236220E+00  0.3227486362E+05   0.1805807170E+07   55.95088    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           14   ROD No.            2   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2320360528E+05   0.9259684510E+06   39.90623    1.26700
   27 0.7469153543E+02  0.3181390102E+05   0.7929107171E+06   24.92340    1.47612
   26 0.7151633858E+02  0.5737411825E+05   0.9810751239E+06   17.09961    1.19023
   25 0.6834114173E+02  0.7460444100E+05   0.1030070368E+07   13.80709    1.13538
   24 0.6600354331E+02  0.8342188282E+05   0.9817623466E+06   11.76864    1.19742
   23 0.6366594488E+02  0.1012197089E+06   0.1064295281E+07   10.51470    1.10946
   22 0.6049074803E+02  0.1195663655E+06   0.1110871435E+07    9.29084    1.07918
   21 0.5731555118E+02  0.1357311945E+06   0.1146645851E+07    8.44792    1.06106
   20 0.5414035433E+02  0.1506070175E+06   0.1181800939E+07    7.84692    1.04602
   19 0.5096515748E+02  0.1640718997E+06   0.1222843548E+07    7.45310    1.02886
   18 0.4778996063E+02  0.1739815118E+06   0.1264849532E+07    7.27002    1.01443
   17 0.4545236220E+02  0.1722224242E+06   0.1227762445E+07    7.12893    1.06809
   16 0.4311476378E+02  0.1889712817E+06   0.1298405883E+07    6.87092    1.02105
   15 0.3993956693E+02  0.1991846557E+06   0.1351646013E+07    6.78589    1.00769
   14 0.3676437008E+02  0.2049640158E+06   0.1399321014E+07    6.82715    1.00000
   13 0.3358917323E+02  0.2079809094E+06   0.1438192655E+07    6.91502    1.00000
   12 0.3041397638E+02  0.2079230329E+06   0.1478728709E+07    7.11190    1.00000
   11 0.2723877953E+02  0.2023209412E+06   0.1520709361E+07    7.51632    1.00000
   10 0.2490118110E+02  0.1870388243E+06   0.1563204365E+07    8.35765    1.00000
    9 0.2253484252E+02  0.1912368782E+06   0.1582437691E+07    8.27475    1.00000
    8 0.1930216535E+02  0.1809801047E+06   0.1626065127E+07    8.98477    1.00000
    7 0.1606948819E+02  0.1642479240E+06   0.1668017560E+07   10.15549    1.00000
    6 0.1283661417E+02  0.1429551254E+06   0.1707060891E+07   11.94124    1.00000
    5 0.9603740157E+01  0.1171427271E+06   0.1741939325E+07   14.87023    1.00000
    4 0.6371062992E+01  0.8811519755E+05   0.1771224075E+07   20.10123    1.00000
    3 0.3138385827E+01  0.4630892175E+05   0.1793747289E+07   38.73438    1.00000
    2 0.7610236220E+00  0.3227486335E+05   0.1805880298E+07   55.95315    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            2   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2320360570E+05   0.7998582352E+06   34.47129    1.32800
   27 0.7469153543E+02  0.3181390196E+05   0.7010106550E+06   22.03473    1.51655
   26 0.7151633858E+02  0.5737411863E+05   0.8843275010E+06   15.41335    1.20539
   25 0.6834114173E+02  0.7460444103E+05   0.9370087907E+06   12.55969    1.14515
   24 0.6600354331E+02  0.8342188284E+05   0.9002402810E+06   10.79142    1.20373
   23 0.6366594488E+02  0.1012197070E+06   0.9776850400E+06    9.65904    1.11454
   22 0.6049074803E+02  0.1195663568E+06   0.1019969662E+07    8.53057    1.08336
   21 0.5731555118E+02  0.1357311866E+06   0.1055725263E+07    7.77806    1.06392
   20 0.5414035433E+02  0.1506070085E+06   0.1092367426E+07    7.25310    1.04768
   19 0.5096515748E+02  0.1640718914E+06   0.1135293428E+07    6.91949    1.02963
   18 0.4778996063E+02  0.1739815122E+06   0.1179266151E+07    6.77811    1.01481
   17 0.4545236220E+02  0.1722224171E+06   0.1148958365E+07    6.67136    1.06824
   16 0.4311476378E+02  0.1889712915E+06   0.1216234338E+07    6.43608    1.02112
   15 0.3993956693E+02  0.1991846682E+06   0.1265258141E+07    6.35219    1.00773
   14 0.3676437008E+02  0.2049640438E+06   0.1310808024E+07    6.39531    1.00000
   13 0.3358917323E+02  0.2079809057E+06   0.1348665091E+07    6.48456    1.00000
   12 0.3041397638E+02  0.2079230301E+06   0.1388214059E+07    6.67658    1.00000
   11 0.2723877953E+02  0.2023209389E+06   0.1428881643E+07    7.06245    1.00000
   10 0.2490118110E+02  0.1870388229E+06   0.1469429712E+07    7.85628    1.00000
    9 0.2253484252E+02  0.1912368770E+06   0.1487303984E+07    7.77729    1.00000
    8 0.1930216535E+02  0.1809801047E+06   0.1526191188E+07    8.43292    1.00000
    7 0.1606948819E+02  0.1642479241E+06   0.1563548036E+07    9.51944    1.00000
    6 0.1283661417E+02  0.1429551249E+06   0.1597930882E+07   11.17785    1.00000
