
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2688320137E+05   0.7522844469E+06   27.98344    1.33745
   27 0.7469153543E+02  0.3664370651E+05   0.7119374144E+06   19.42864    1.41809
   26 0.7151633858E+02  0.5633211187E+05   0.8205189874E+06   14.56574    1.23769
   25 0.6834114173E+02  0.7338922457E+05   0.8765988174E+06   11.94452    1.16955
   24 0.6600354331E+02  0.8226407803E+05   0.8499884467E+06   10.33244    1.22108
   23 0.6366594488E+02  0.9973103635E+05   0.9252404618E+06    9.27736    1.12920
   22 0.6049074803E+02  0.1179381203E+06   0.9711171200E+06    8.23412    1.09393
   21 0.5731555118E+02  0.1340867746E+06   0.1010183939E+07    7.53381    1.07192
   20 0.5414035433E+02  0.1490584347E+06   0.1050072143E+07    7.04470    1.05359
   19 0.5096515748E+02  0.1627161781E+06   0.1095800943E+07    6.73443    1.03389
   18 0.4778996063E+02  0.1728875349E+06   0.1140694988E+07    6.59790    1.01917
   17 0.4545236220E+02  0.1716593444E+06   0.1114185307E+07    6.49068    1.07232
   16 0.4311476378E+02  0.1883974804E+06   0.1180564500E+07    6.26635    1.02504
   15 0.3993956693E+02  0.1989999412E+06   0.1230673203E+07    6.18429    1.01223
   14 0.3676437008E+02  0.2052272359E+06   0.1278132255E+07    6.22789    1.00450
   13 0.3358917323E+02  0.2087246889E+06   0.1323978842E+07    6.34318    1.00000
   12 0.3041397638E+02  0.2091470996E+06   0.1365673745E+07    6.52973    1.00000
   11 0.2723877953E+02  0.2039567757E+06   0.1408442634E+07    6.90559    1.00000
   10 0.2490118110E+02  0.1890715895E+06   0.1451145895E+07    7.67511    1.00000
    9 0.2253484252E+02  0.1934390448E+06   0.1470080902E+07    7.59971    1.00000
    8 0.1930216535E+02  0.1834883842E+06   0.1511583019E+07    8.23803    1.00000
    7 0.1606948819E+02  0.1668908214E+06   0.1551719651E+07    9.29781    1.00000
    6 0.1283661417E+02  0.1455501776E+06   0.1588890336E+07   10.91644    1.00000
    5 0.9603740157E+01  0.1194830956E+06   0.1621904062E+07   13.57434    1.00000
    4 0.6371062992E+01  0.8982429185E+05   0.1649490148E+07   18.36352    1.00000
    3 0.3138385827E+01  0.5525996205E+05   0.1670603933E+07   30.23172    1.00000
    2 0.7610236220E+00  0.3856396579E+05   0.1682827972E+07   43.63732    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2688319213E+05   0.7594790407E+06   28.25107    1.37696
   27 0.7469153543E+02  0.3664369697E+05   0.7247346858E+06   19.77788    1.44667
   26 0.7151633858E+02  0.5633210247E+05   0.8390543387E+06   14.89478    1.25581
   25 0.6834114173E+02  0.7338921532E+05   0.8972218807E+06   12.22553    1.18444
   24 0.6600354331E+02  0.8226406948E+05   0.8718118091E+06   10.59772    1.23332
   23 0.6366594488E+02  0.9973102884E+05   0.9502136643E+06    9.52776    1.13888
   22 0.6049074803E+02  0.1179380959E+06   0.9995324563E+06    8.47506    1.10098
   21 0.5731555118E+02  0.1340866841E+06   0.1041724496E+07    7.76904    1.07723
   20 0.5414035433E+02  0.1490584194E+06   0.1085004014E+07    7.27905    1.05740
   19 0.5096515748E+02  0.1627161829E+06   0.1134492398E+07    6.97222    1.03648
   18 0.4778996063E+02  0.1728875424E+06   0.1182469151E+07    6.83953    1.02159
   17 0.4545236220E+02  0.1716592638E+06   0.1156472684E+07    6.73702    1.07498
   16 0.4311476378E+02  0.1883974889E+06   0.1227517695E+07    6.51557    1.02651
   15 0.3993956693E+02  0.1989999460E+06   0.1283246157E+07    6.44847    1.01282
   14 0.3676437008E+02  0.2052272264E+06   0.1336248137E+07    6.51107    1.00465
   13 0.3358917323E+02  0.2087246412E+06   0.1387672049E+07    6.64834    1.00000
   12 0.3041397638E+02  0.2091470998E+06   0.1434911642E+07    6.86078    1.00000
   11 0.2723877953E+02  0.2039567760E+06   0.1483617085E+07    7.27417    1.00000
   10 0.2490118110E+02  0.1890715898E+06   0.1532477540E+07    8.10528    1.00000
    9 0.2253484252E+02  0.1934390448E+06   0.1554272173E+07    8.03495    1.00000
    8 0.1930216535E+02  0.1834883832E+06   0.1602735009E+07    8.73480    1.00000
    7 0.1606948819E+02  0.1668908205E+06   0.1649757004E+07    9.88525    1.00000
    6 0.1283661417E+02  0.1455501772E+06   0.1693449148E+07   11.63481    1.00000
    5 0.9603740157E+01  0.1194830962E+06   0.1732327616E+07   14.49852    1.00000
    4 0.6371062992E+01  0.8982429306E+05   0.1764821353E+07   19.64748    1.00000
    3 0.3138385827E+01  0.5525996283E+05   0.1789627627E+07   32.38561    1.00000
    2 0.7610236220E+00  0.3856396462E+05   0.1804958233E+07   46.80427    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2688320248E+05   0.7391715815E+06   27.49567    1.35001
   27 0.7469153543E+02  0.3664370728E+05   0.7019628639E+06   19.15644    1.42666
   26 0.7151633858E+02  0.5633211222E+05   0.8107563866E+06   14.39244    1.24277
   25 0.6834114173E+02  0.7338922674E+05   0.8670569518E+06   11.81450    1.17344
   24 0.6600354331E+02  0.8226407783E+05   0.8416882994E+06   10.23154    1.22410
   23 0.6366594488E+02  0.9973103606E+05   0.9166892947E+06    9.19162    1.13155
   22 0.6049074803E+02  0.1179381220E+06   0.9629478273E+06    8.16486    1.09559
   21 0.5731555118E+02  0.1340867372E+06   0.1002403004E+07    7.47578    1.07312
   20 0.5414035433E+02  0.1490584265E+06   0.1042689287E+07    6.99517    1.05442
   19 0.5096515748E+02  0.1627161769E+06   0.1088793023E+07    6.69136    1.03443
   18 0.4778996063E+02  0.1728875347E+06   0.1133909606E+07    6.55865    1.01966
   17 0.4545236220E+02  0.1716593146E+06   0.1108008710E+07    6.45470    1.07286
   16 0.4311476378E+02  0.1883974803E+06   0.1174504164E+07    6.23418    1.02534
   15 0.3993956693E+02  0.1989999403E+06   0.1225087958E+07    6.15622    1.01235
   14 0.3676437008E+02  0.2052272319E+06   0.1273012362E+07    6.20294    1.00453
   13 0.3358917323E+02  0.2087246740E+06   0.1319310764E+07    6.32082    1.00000
   12 0.3041397638E+02  0.2091470999E+06   0.1361472289E+07    6.50964    1.00000
   11 0.2723877953E+02  0.2039567759E+06   0.1404736802E+07    6.88742    1.00000
   10 0.2490118110E+02  0.1890715897E+06   0.1447956391E+07    7.65824    1.00000
    9 0.2253484252E+02  0.1934390450E+06   0.1467134750E+07    7.58448    1.00000
    8 0.1930216535E+02  0.1834883842E+06   0.1509169444E+07    8.22488    1.00000
    7 0.1606948819E+02  0.1668908214E+06   0.1549835964E+07    9.28653    1.00000
    6 0.1283661417E+02  0.1455501775E+06   0.1587508079E+07   10.90695    1.00000
    5 0.9603740157E+01  0.1194830954E+06   0.1620976223E+07   13.56657    1.00000
    4 0.6371062992E+01  0.8982429166E+05   0.1648948665E+07   18.35749    1.00000
    3 0.3138385827E+01  0.5525996196E+05   0.1670361832E+07   30.22734    1.00000
    2 0.7610236220E+00  0.3856396587E+05   0.1682760471E+07   43.63557    1.00000

