
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1784663877E+05   0.1204527264E+07   67.49323    1.00000
   27 0.7469153543E+02  0.2464517905E+05   0.1205671783E+07   48.92120    1.00000
   26 0.7151633858E+02  0.4480703029E+05   0.1208412699E+07   26.96927    1.00000
   25 0.6834114173E+02  0.5841187565E+05   0.1214465309E+07   20.79141    1.00000
   24 0.6600354331E+02  0.6516344204E+05   0.1223276065E+07   18.77243    1.00000
   23 0.6366594488E+02  0.7919956623E+05   0.1228225091E+07   15.50798    1.00000
   22 0.6049074803E+02  0.9342753360E+05   0.1241503888E+07   13.28842    1.00000
   21 0.5731555118E+02  0.1059066095E+06   0.1256948158E+07   11.86846    1.00000
   20 0.5414035433E+02  0.1173115605E+06   0.1274664348E+07   10.86563    1.00000
   19 0.5096515748E+02  0.1275456262E+06   0.1294656182E+07   10.15053    1.00000
   18 0.4778996063E+02  0.1349886951E+06   0.1316920877E+07    9.75579    1.00000
   17 0.4545236220E+02  0.1330803351E+06   0.1341073672E+07   10.07717    1.00000
   16 0.4311476378E+02  0.1460572043E+06   0.1352466289E+07    9.25984    1.00000
   15 0.3993956693E+02  0.1534947090E+06   0.1378405951E+07    8.98015    1.00000
   14 0.3676437008E+02  0.1574871417E+06   0.1406397937E+07    8.93024    1.00000
   13 0.3358917323E+02  0.1593193090E+06   0.1435630531E+07    9.01103    1.00000
   12 0.3041397638E+02  0.1587703486E+06   0.1465734082E+07    9.23179    1.00000
   11 0.2723877953E+02  0.1540213672E+06   0.1496297453E+07    9.71487    1.00000
   10 0.2490118110E+02  0.1417539633E+06   0.1526481121E+07   10.76853    1.00000
    9 0.2253484252E+02  0.1448606968E+06   0.1539753469E+07   10.62920    1.00000
    8 0.1930216535E+02  0.1366092412E+06   0.1568461614E+07   11.48137    1.00000
    7 0.1606948819E+02  0.1235739530E+06   0.1596037250E+07   12.91564    1.00000
    6 0.1283661417E+02  0.1072243650E+06   0.1621342133E+07   15.12102    1.00000
    5 0.9603740157E+01  0.8762090933E+05   0.1643613413E+07   18.75823    1.00000
    4 0.6371062992E+01  0.6567877473E+05   0.1662076175E+07   25.30614    1.00000
    3 0.3138385827E+01  0.3449807758E+05   0.1676121669E+07   48.58594    1.00000
    2 0.7610236220E+00  0.2510819051E+05   0.1684217172E+07   67.07840    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1784665013E+05   0.1295473589E+07   72.58917    1.00000
   27 0.7469153543E+02  0.2464519119E+05   0.1294318024E+07   52.51808    1.00000
   26 0.7151633858E+02  0.4480704420E+05   0.1293778239E+07   28.87444    1.00000
   25 0.6834114173E+02  0.5841188820E+05   0.1297196627E+07   22.20775    1.00000
   24 0.6600354331E+02  0.6516345415E+05   0.1304116879E+07   20.01301    1.00000
   23 0.6366594488E+02  0.7919957821E+05   0.1309230060E+07   16.53077    1.00000
   22 0.6049074803E+02  0.9342754445E+05   0.1324049558E+07   14.17194    1.00000
   21 0.5731555118E+02  0.1059066199E+06   0.1340172601E+07   12.65429    1.00000
   20 0.5414035433E+02  0.1173115694E+06   0.1357631546E+07   11.57287    1.00000
   19 0.5096515748E+02  0.1275456345E+06   0.1377008754E+07   10.79620    1.00000
   18 0.4778996063E+02  0.1349887007E+06   0.1398658564E+07   10.36130    1.00000
   17 0.4545236220E+02  0.1330803390E+06   0.1422715455E+07   10.69065    1.00000
   16 0.4311476378E+02  0.1460572078E+06   0.1434796271E+07    9.82352    1.00000
   15 0.3993956693E+02  0.1534947131E+06   0.1465138550E+07    9.54521    1.00000
   14 0.3676437008E+02  0.1574871446E+06   0.1495752566E+07    9.49762    1.00000
   13 0.3358917323E+02  0.1593193110E+06   0.1527213510E+07    9.58587    1.00000
   12 0.3041397638E+02  0.1587703499E+06   0.1559547266E+07    9.82266    1.00000
   11 0.2723877953E+02  0.1540213682E+06   0.1592540071E+07   10.33973    1.00000
   10 0.2490118110E+02  0.1417539637E+06   0.1625479953E+07   11.46691    1.00000
    9 0.2253484252E+02  0.1448606969E+06   0.1640263863E+07   11.32304    1.00000
    8 0.1930216535E+02  0.1366092403E+06   0.1673695619E+07   12.25170    1.00000
    7 0.1606948819E+02  0.1235739523E+06   0.1705341245E+07   13.80017    1.00000
    6 0.1283661417E+02  0.1072243649E+06   0.1734459588E+07   16.17598    1.00000
    5 0.9603740157E+01  0.8762090999E+05   0.1760208201E+07   20.08891    1.00000
    4 0.6371062992E+01  0.6567877609E+05   0.1781643836E+07   27.12663    1.00000
    3 0.3138385827E+01  0.3449807898E+05   0.1798004650E+07   52.11898    1.00000
    2 0.7610236220E+00  0.2510818977E+05   0.1806805303E+07   71.96080    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1784663891E+05   0.1193806410E+07   66.89251    1.00000
   27 0.7469153543E+02  0.2464517892E+05   0.1194771042E+07   48.47890    1.00000
   26 0.7151633858E+02  0.4480703125E+05   0.1197273643E+07   26.72066    1.00000
   25 0.6834114173E+02  0.5841187669E+05   0.1203144695E+07   20.59760    1.00000
   24 0.6600354331E+02  0.6516344149E+05   0.1211881104E+07   18.59756    1.00000
   23 0.6366594488E+02  0.7919956574E+05   0.1216908421E+07   15.36509    1.00000
   22 0.6049074803E+02  0.9342753333E+05   0.1230811523E+07   13.17397    1.00000
   21 0.5731555118E+02  0.1059066094E+06   0.1246506795E+07   11.76987    1.00000
   20 0.5414035433E+02  0.1173115604E+06   0.1264434912E+07   10.77843    1.00000
   19 0.5096515748E+02  0.1275456270E+06   0.1284657259E+07   10.07214    1.00000
   18 0.4778996063E+02  0.1349886951E+06   0.1307206429E+07    9.68382    1.00000
   17 0.4545236220E+02  0.1330803350E+06   0.1331736926E+07   10.00702    1.00000
   16 0.4311476378E+02  0.1460572044E+06   0.1343376400E+07    9.19760    1.00000
   15 0.3993956693E+02  0.1534947094E+06   0.1370012355E+07    8.92547    1.00000
   14 0.3676437008E+02  0.1574871421E+06   0.1398647909E+07    8.88103    1.00000
   13 0.3358917323E+02  0.1593193094E+06   0.1428540393E+07    8.96652    1.00000
   12 0.3041397638E+02  0.1587703489E+06   0.1459342883E+07    9.19153    1.00000
   11 0.2723877953E+02  0.1540213675E+06   0.1490650048E+07    9.67820    1.00000
   10 0.2490118110E+02  0.1417539635E+06   0.1521615513E+07   10.73420    1.00000
    9 0.2253484252E+02  0.1448606969E+06   0.1535261099E+07   10.59819    1.00000
    8 0.1930216535E+02  0.1366092412E+06   0.1564828167E+07   11.45478    1.00000
    7 0.1606948819E+02  0.1235739528E+06   0.1593219015E+07   12.89284    1.00000
    6 0.1283661417E+02  0.1072243647E+06   0.1619284898E+07   15.10184    1.00000
    5 0.9603740157E+01  0.8762090898E+05   0.1642239303E+07   18.74255    1.00000
    4 0.6371062992E+01  0.6567877443E+05   0.1661278512E+07   25.29399    1.00000
    3 0.3138385827E+01  0.3449807743E+05   0.1675768831E+07   48.57572    1.00000
    2 0.7610236220E+00  0.2510819063E+05   0.1684123095E+07   67.07465    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            1   SURF. No.            4
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1784665180E+05   0.1289396008E+07   72.24862    1.00000
   27 0.7469153543E+02  0.2464519158E+05   0.1288147124E+07   52.26769    1.00000
   26 0.7151633858E+02  0.4480704418E+05   0.1287439234E+07   28.73297    1.00000
   25 0.6834114173E+02  0.5841188914E+05   0.1290635112E+07   22.09542    1.00000
   24 0.6600354331E+02  0.6516345358E+05   0.1297285385E+07   19.90817    1.00000
   23 0.6366594488E+02  0.7919957766E+05   0.1302301514E+07   16.44329    1.00000
   22 0.6049074803E+02  0.9342754412E+05   0.1318053558E+07   14.10776    1.00000
   21 0.5731555118E+02  0.1059066205E+06   0.1334314746E+07   12.59897    1.00000
   20 0.5414035433E+02  0.1173115693E+06   0.1351910079E+07   11.52410    1.00000
   19 0.5096515748E+02  0.1275456346E+06   0.1371381951E+07   10.75209    1.00000
   18 0.4778996063E+02  0.1349887010E+06   0.1393051361E+07   10.31976    1.00000
   17 0.4545236220E+02  0.1330803398E+06   0.1417040225E+07   10.64801    1.00000
   16 0.4311476378E+02  0.1460572091E+06   0.1429093883E+07    9.78448    1.00000
   15 0.3993956693E+02  0.1534947141E+06   0.1460207849E+07    9.51308    1.00000
   14 0.3676437008E+02  0.1574871455E+06   0.1491205235E+07    9.46874    1.00000
   13 0.3358917323E+02  0.1593193117E+06   0.1523044079E+07    9.55970    1.00000
   12 0.3041397638E+02  0.1587703504E+06   0.1555728109E+07    9.79861    1.00000
   11 0.2723877953E+02  0.1540213685E+06   0.1589024469E+07   10.31691    1.00000
   10 0.2490118110E+02  0.1417539642E+06   0.1622211295E+07   11.44385    1.00000
    9 0.2253484252E+02  0.1448606970E+06   0.1637114696E+07   11.30130    1.00000
    8 0.1930216535E+02  0.1366092397E+06   0.1671228988E+07   12.23365    1.00000
    7 0.1606948819E+02  0.1235739516E+06   0.1703416599E+07   13.78459    1.00000
    6 0.1283661417E+02  0.1072243642E+06   0.1733042114E+07   16.16276    1.00000
    5 0.9603740157E+01  0.8762090946E+05   0.1759248517E+07   20.07795    1.00000
    4 0.6371062992E+01  0.6567877582E+05   0.1781072610E+07   27.11793    1.00000
    3 0.3138385827E+01  0.3449807892E+05   0.1797736837E+07   52.11122    1.00000
    2 0.7610236220E+00  0.2510818993E+05   0.1806696036E+07   71.95644    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            2   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1617347826E+05   0.1295473589E+07   80.09864    1.00000
   27 0.7469153543E+02  0.2211403826E+05   0.1294318024E+07   58.52925    1.00000
   26 0.7151633858E+02  0.3982907787E+05   0.1293778239E+07   32.48326    1.00000
   25 0.6834114173E+02  0.5192405100E+05   0.1297196627E+07   24.98258    1.00000
   24 0.6600354331E+02  0.5780218821E+05   0.1304116879E+07   22.56172    1.00000
   23 0.6366594488E+02  0.7039335039E+05   0.1309230060E+07   18.59877    1.00000
   22 0.6049074803E+02  0.8300957289E+05   0.1324049558E+07   15.95056    1.00000
   21 0.5731555118E+02  0.9407570183E+05   0.1340172601E+07   14.24568    1.00000
   20 0.5414035433E+02  0.1041756856E+06   0.1357631546E+07   13.03213    1.00000
   19 0.5096515748E+02  0.1132218664E+06   0.1377008754E+07   12.16204    1.00000
   18 0.4778996063E+02  0.1198148027E+06   0.1398658564E+07   11.67350    1.00000
   17 0.4545236220E+02  0.1178219463E+06   0.1422715455E+07   12.07513    1.00000
   16 0.4311476378E+02  0.1295520706E+06   0.1434796271E+07   11.07505    1.00000
   15 0.3993956693E+02  0.1360629166E+06   0.1465138550E+07   10.76810    1.00000
   14 0.3676437008E+02  0.1395406862E+06   0.1495752566E+07   10.71911    1.00000
   13 0.3358917323E+02  0.1410960819E+06   0.1527213510E+07   10.82393    1.00000
   12 0.3041397638E+02  0.1405372957E+06   0.1559547266E+07   11.09703    1.00000
   11 0.2723877953E+02  0.1362990721E+06   0.1592540071E+07   11.68416    1.00000
   10 0.2490118110E+02  0.1251124799E+06   0.1625479953E+07   12.99215    1.00000
    9 0.2253484252E+02  0.1280968514E+06   0.1640263863E+07   12.80487    1.00000
    8 0.1930216535E+02  0.1207138475E+06   0.1673695619E+07   13.86498    1.00000
    7 0.1606948819E+02  0.1091484497E+06   0.1705341245E+07   15.62405    1.00000
    6 0.1283661417E+02  0.9466507997E+05   0.1734459588E+07   18.32206    1.00000
    5 0.9603740157E+01  0.7732395438E+05   0.1760208201E+07   22.76407    1.00000
    4 0.6371062992E+01  0.5793122179E+05   0.1781643836E+07   30.75447    1.00000
    3 0.3138385827E+01  0.3094543579E+05   0.1798004650E+07   58.10242    1.00000
    2 0.7610236220E+00  0.2427824407E+05   0.1806805303E+07   74.42076    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           14   ROD No.            2   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1617349685E+05   0.1335276727E+07   82.55956    1.00000
   27 0.7469153543E+02  0.2211405530E+05   0.1334842994E+07   60.36175    1.00000
   26 0.7151633858E+02  0.3982909366E+05   0.1335082313E+07   33.52028    1.00000
   25 0.6834114173E+02  0.5192406494E+05   0.1338885169E+07   25.78545    1.00000
   24 0.6600354331E+02  0.5780219969E+05   0.1345832079E+07   23.28341    1.00000
   23 0.6366594488E+02  0.7039336074E+05   0.1350761001E+07   19.18876    1.00000
   22 0.6049074803E+02  0.8300958213E+05   0.1367053769E+07   16.46863    1.00000
   21 0.5731555118E+02  0.9407570780E+05   0.1382659413E+07   14.69731    1.00000
   20 0.5414035433E+02  0.1041756893E+06   0.1399546971E+07   13.43449    1.00000
   19 0.5096515748E+02  0.1132218686E+06   0.1418060838E+07   12.52462    1.00000
   18 0.4778996063E+02  0.1198148043E+06   0.1438440902E+07   12.00554    1.00000
   17 0.4545236220E+02  0.1178219477E+06   0.1460787288E+07   12.39826    1.00000
   16 0.4311476378E+02  0.1295520723E+06   0.1471900332E+07   11.36146    1.00000
   15 0.3993956693E+02  0.1360629177E+06   0.1500157747E+07   11.02547    1.00000
   14 0.3676437008E+02  0.1395406869E+06   0.1528446253E+07   10.95341    1.00000
   13 0.3358917323E+02  0.1410960822E+06   0.1557362635E+07   11.03760    1.00000
   12 0.3041397638E+02  0.1405372958E+06   0.1586812504E+07   11.29104    1.00000
   11 0.2723877953E+02  0.1362990721E+06   0.1616566720E+07   11.86044    1.00000
   10 0.2490118110E+02  0.1251124801E+06   0.1646012658E+07   13.15626    1.00000
    9 0.2253484252E+02  0.1280968513E+06   0.1659167892E+07   12.95245    1.00000
    8 0.1930216535E+02  0.1207138470E+06   0.1689045771E+07   13.99215    1.00000
    7 0.1606948819E+02  0.1091484497E+06   0.1717283719E+07   15.73347    1.00000
    6 0.1283661417E+02  0.9466508078E+05   0.1743137614E+07   18.41373    1.00000
    5 0.9603740157E+01  0.7732395572E+05   0.1765884795E+07   22.83749    1.00000
    4 0.6371062992E+01  0.5793122340E+05   0.1784745023E+07   30.80800    1.00000
    3 0.3138385827E+01  0.3094543660E+05   0.1799096951E+07   58.13771    1.00000
