
 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7768761624E+04   0.1569184309E+07  201.98641    1.00000
   27 0.7469153543E+02  0.1116570710E+05   0.1568780856E+07  140.49991    1.00000
   26 0.7151633858E+02  0.1759029091E+05   0.1569032996E+07   89.19881    1.00000
   25 0.6834114173E+02  0.2300141188E+05   0.1571086131E+07   68.30390    1.00000
   24 0.6600354331E+02  0.2575127748E+05   0.1575129551E+07   61.16705    1.00000
   23 0.6366594488E+02  0.3111755027E+05   0.1578142545E+07   50.71551    1.00000
   22 0.6049074803E+02  0.3662539867E+05   0.1587265722E+07   43.33784    1.00000
   21 0.5731555118E+02  0.4140574890E+05   0.1596279841E+07   38.55213    1.00000
   20 0.5414035433E+02  0.4571567504E+05   0.1605854221E+07   35.12699    1.00000
   19 0.5096515748E+02  0.4951580006E+05   0.1616240025E+07   32.64089    1.00000
   18 0.4778996063E+02  0.5219390084E+05   0.1627579473E+07   31.18333    1.00000
   17 0.4545236220E+02  0.5151311853E+05   0.1639903868E+07   31.83468    1.00000
   16 0.4311476378E+02  0.5605806562E+05   0.1646062909E+07   29.36353    1.00000
   15 0.3993956693E+02  0.5858676731E+05   0.1660954819E+07   28.35034    1.00000
   14 0.3676437008E+02  0.5976136214E+05   0.1675758773E+07   28.04084    1.00000
   13 0.3358917323E+02  0.6009011189E+05   0.1690628880E+07   28.13489    1.00000
   12 0.3041397638E+02  0.5950691337E+05   0.1705531181E+07   28.66106    1.00000
   11 0.2723877953E+02  0.5735890921E+05   0.1720353304E+07   29.99278    1.00000
   10 0.2490118110E+02  0.5281326766E+05   0.1734786202E+07   32.84755    1.00000
    9 0.2253484252E+02  0.5342287204E+05   0.1741229573E+07   32.59334    1.00000
    8 0.1930216535E+02  0.5004662065E+05   0.1755287926E+07   35.07306    1.00000
    7 0.1606948819E+02  0.4497565477E+05   0.1768357384E+07   39.31810    1.00000
    6 0.1283661417E+02  0.3878749314E+05   0.1780116952E+07   45.89410    1.00000
    5 0.9603740157E+01  0.3153750440E+05   0.1790308916E+07   56.76762    1.00000
    4 0.6371062992E+01  0.2351591243E+05   0.1798659885E+07   76.48693    1.00000
    3 0.3138385827E+01  0.1401973190E+05   0.1804958986E+07  128.74419    1.00000
    2 0.7610236220E+00  0.9266417998E+04   0.1808763811E+07  195.19558    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7768760391E+04   0.1576582805E+07  202.93879    1.00000
   27 0.7469153543E+02  0.1116570595E+05   0.1576147775E+07  141.15971    1.00000
   26 0.7151633858E+02  0.1759028976E+05   0.1576392671E+07   89.61721    1.00000
   25 0.6834114173E+02  0.2300141092E+05   0.1578480160E+07   68.62536    1.00000
   24 0.6600354331E+02  0.2575127684E+05   0.1582575385E+07   61.45619    1.00000
   23 0.6366594488E+02  0.3111754989E+05   0.1585551426E+07   50.95361    1.00000
   22 0.6049074803E+02  0.3662539869E+05   0.1594101837E+07   43.52449    1.00000
   21 0.5731555118E+02  0.4140574993E+05   0.1602839287E+07   38.71055    1.00000
   20 0.5414035433E+02  0.4571567648E+05   0.1612174942E+07   35.26525    1.00000
   19 0.5096515748E+02  0.4951580174E+05   0.1622380250E+07   32.76490    1.00000
   18 0.4778996063E+02  0.5219390271E+05   0.1633605298E+07   31.29878    1.00000
   17 0.4545236220E+02  0.5151311999E+05   0.1645843640E+07   31.94999    1.00000
   16 0.4311476378E+02  0.5605806725E+05   0.1651911943E+07   29.46787    1.00000
   15 0.3993956693E+02  0.5858676866E+05   0.1666060495E+07   28.43749    1.00000
   14 0.3676437008E+02  0.5976136333E+05   0.1680376051E+07   28.11810    1.00000
   13 0.3358917323E+02  0.6009011296E+05   0.1694804903E+07   28.20439    1.00000
   12 0.3041397638E+02  0.5950691431E+05   0.1709305771E+07   28.72449    1.00000
   11 0.2723877953E+02  0.5735891010E+05   0.1723755548E+07   30.05210    1.00000
   10 0.2490118110E+02  0.5281326818E+05   0.1737827653E+07   32.90513    1.00000
    9 0.2253484252E+02  0.5342287302E+05   0.1744082313E+07   32.64673    1.00000
    8 0.1930216535E+02  0.5004662178E+05   0.1757538924E+07   35.11803    1.00000
    7 0.1606948819E+02  0.4497565582E+05   0.1770079484E+07   39.35639    1.00000
    6 0.1283661417E+02  0.3878749402E+05   0.1781366265E+07   45.92630    1.00000
    5 0.9603740157E+01  0.3153750508E+05   0.1791145615E+07   56.79414    1.00000
    4 0.6371062992E+01  0.2351591286E+05   0.1799152332E+07   76.50787    1.00000
    3 0.3138385827E+01  0.1401973208E+05   0.1805183641E+07  128.76021    1.00000
    2 0.7610236220E+00  0.9266417945E+04   0.1808822243E+07  195.20188    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7768762545E+04   0.1751567134E+07  225.46282    1.00000
   27 0.7469153543E+02  0.1116570792E+05   0.1751933071E+07  156.90300    1.00000
   26 0.7151633858E+02  0.1759029101E+05   0.1753467456E+07   99.68382    1.00000
   25 0.6834114173E+02  0.2300141126E+05   0.1757257472E+07   76.39781    1.00000
   24 0.6600354331E+02  0.2575127550E+05   0.1763201470E+07   68.47045    1.00000
   23 0.6366594488E+02  0.3111754792E+05   0.1766782808E+07   56.77770    1.00000
   22 0.6049074803E+02  0.3662539550E+05   0.1776574863E+07   48.50664    1.00000
   21 0.5731555118E+02  0.4140574551E+05   0.1787169941E+07   43.16237    1.00000
   20 0.5414035433E+02  0.4571567080E+05   0.1798901744E+07   39.34978    1.00000
   19 0.5096515748E+02  0.4951579576E+05   0.1811868311E+07   36.59172    1.00000
   18 0.4778996063E+02  0.5219389671E+05   0.1826079409E+07   34.98645    1.00000
   17 0.4545236220E+02  0.5151311416E+05   0.1841254881E+07   35.74342    1.00000
   16 0.4311476378E+02  0.5605806241E+05   0.1848454424E+07   32.97393    1.00000
   15 0.3993956693E+02  0.5858676532E+05   0.1865173913E+07   31.83610    1.00000
   14 0.3676437008E+02  0.5976136103E+05   0.1882379758E+07   31.49827    1.00000
   13 0.3358917323E+02  0.6009011146E+05   0.1899866768E+07   31.61696    1.00000
   12 0.3041397638E+02  0.5950691348E+05   0.1917441368E+07   32.22216    1.00000
   11 0.2723877953E+02  0.5735890986E+05   0.1934840817E+07   33.73218    1.00000
   10 0.2490118110E+02  0.5281326819E+05   0.1951552883E+07   36.95194    1.00000
    9 0.2253484252E+02  0.5342287300E+05   0.1958831067E+07   36.66652    1.00000
    8 0.1930216535E+02  0.5004662128E+05   0.1974713693E+07   39.45748    1.00000
    7 0.1606948819E+02  0.4497565562E+05   0.1989501921E+07   44.23508    1.00000
    6 0.1283661417E+02  0.3878749425E+05   0.2002739242E+07   51.63363    1.00000
    5 0.9603740157E+01  0.3153750574E+05   0.2014100177E+07   63.86365    1.00000
    4 0.6371062992E+01  0.2351591379E+05   0.2023278629E+07   86.03870    1.00000
    3 0.3138385827E+01  0.1401973296E+05   0.2030071056E+07  144.80098    1.00000
    2 0.7610236220E+00  0.9266417572E+04   0.2034077726E+07  219.51069    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            1   SURF. No.            4
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7768759473E+04   0.1562444668E+07  201.11894    1.00000
   27 0.7469153543E+02  0.1116570463E+05   0.1561998462E+07  139.89251    1.00000
   26 0.7151633858E+02  0.1759028801E+05   0.1562232939E+07   88.81224    1.00000
   25 0.6834114173E+02  0.2300140884E+05   0.1564375261E+07   68.01215    1.00000
   24 0.6600354331E+02  0.2575127457E+05   0.1568616261E+07   60.91412    1.00000
   23 0.6366594488E+02  0.3111754756E+05   0.1571743795E+07   50.50989    1.00000
   22 0.6049074803E+02  0.3662539661E+05   0.1580486064E+07   43.15274    1.00000
   21 0.5731555118E+02  0.4140574797E+05   0.1589731309E+07   38.39398    1.00000
