
 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7769252560E+04   0.1562442752E+07  201.10593    1.00000
   27 0.7469153543E+02  0.1116595398E+05   0.1561996928E+07  139.88925    1.00000
   26 0.7151633858E+02  0.1759033761E+05   0.1562231675E+07   88.81192    1.00000
   25 0.6834114173E+02  0.2300116600E+05   0.1564374253E+07   68.01282    1.00000
   24 0.6600354331E+02  0.2574849628E+05   0.1568615441E+07   60.92066    1.00000
   23 0.6366594488E+02  0.3111725844E+05   0.1571743134E+07   50.51033    1.00000
   22 0.6049074803E+02  0.3662528115E+05   0.1580485610E+07   43.15286    1.00000
   21 0.5731555118E+02  0.4140564675E+05   0.1589731062E+07   38.39406    1.00000
   20 0.5414035433E+02  0.4571555655E+05   0.1599554356E+07   34.98928    1.00000
   19 0.5096515748E+02  0.4951565098E+05   0.1610256094E+07   32.52014    1.00000
   18 0.4778996063E+02  0.5219339120E+05   0.1621998838E+07   31.07671    1.00000
   17 0.4545236220E+02  0.5150752714E+05   0.1634806546E+07   31.73918    1.00000
   16 0.4311476378E+02  0.5605757439E+05   0.1641183734E+07   29.27675    1.00000
   15 0.3993956693E+02  0.5858666682E+05   0.1656203660E+07   28.26929    1.00000
   14 0.3676437008E+02  0.5976132386E+05   0.1671421662E+07   27.96828    1.00000
   13 0.3358917323E+02  0.6009009980E+05   0.1686734020E+07   28.07008    1.00000
   12 0.3041397638E+02  0.5950689036E+05   0.1702109867E+07   28.60358    1.00000
   11 0.2723877953E+02  0.5735853167E+05   0.1717431655E+07   29.94204    1.00000
   10 0.2490118110E+02  0.5280751500E+05   0.1732370820E+07   32.80538    1.00000
    9 0.2253484252E+02  0.5342253455E+05   0.1739029788E+07   32.55236    1.00000
    8 0.1930216535E+02  0.5004670063E+05   0.1753504200E+07   35.03736    1.00000
    7 0.1606948819E+02  0.4497580621E+05   0.1766987360E+07   39.28751    1.00000
    6 0.1283661417E+02  0.3878770403E+05   0.1779128628E+07   45.86837    1.00000
    5 0.9603740157E+01  0.3153772712E+05   0.1789657559E+07   56.74656    1.00000
    4 0.6371062992E+01  0.2351611329E+05   0.1798286984E+07   76.47042    1.00000
    3 0.3138385827E+01  0.1401980605E+05   0.1804795306E+07  128.73183    1.00000
    2 0.7610236220E+00  0.9266753422E+04   0.1808725170E+07  195.18434    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7769253402E+04   0.1576580805E+07  202.92565    1.00000
   27 0.7469153543E+02  0.1116595525E+05   0.1576146068E+07  141.15640    1.00000
   26 0.7151633858E+02  0.1759033932E+05   0.1576391363E+07   89.61688    1.00000
   25 0.6834114173E+02  0.2300116805E+05   0.1578479270E+07   68.62605    1.00000
   24 0.6600354331E+02  0.2574849857E+05   0.1582574851E+07   61.46280    1.00000
   23 0.6366594488E+02  0.3111726075E+05   0.1585550768E+07   50.95406    1.00000
   22 0.6049074803E+02  0.3662528323E+05   0.1594101367E+07   43.52462    1.00000
   21 0.5731555118E+02  0.4140564870E+05   0.1602839096E+07   38.71064    1.00000
   20 0.5414035433E+02  0.4571555885E+05   0.1612175018E+07   35.26535    1.00000
   19 0.5096515748E+02  0.4951565299E+05   0.1622380569E+07   32.76500    1.00000
   18 0.4778996063E+02  0.5219339293E+05   0.1633605836E+07   31.29909    1.00000
   17 0.4545236220E+02  0.5150752819E+05   0.1645844256E+07   31.95347    1.00000
   16 0.4311476378E+02  0.5605757563E+05   0.1651912056E+07   29.46813    1.00000
   15 0.3993956693E+02  0.5858666761E+05   0.1666060554E+07   28.43754    1.00000
   14 0.3676437008E+02  0.5976132449E+05   0.1680376165E+07   28.11812    1.00000
   13 0.3358917323E+02  0.6009010035E+05   0.1694805082E+07   28.20440    1.00000
   12 0.3041397638E+02  0.5950689087E+05   0.1709306018E+07   28.72451    1.00000
   11 0.2723877953E+02  0.5735853225E+05   0.1723755867E+07   30.05230    1.00000
   10 0.2490118110E+02  0.5280751535E+05   0.1737827934E+07   32.90872    1.00000
    9 0.2253484252E+02  0.5342253528E+05   0.1744082049E+07   32.64694    1.00000
    8 0.1930216535E+02  0.5004670153E+05   0.1757538571E+07   35.11797    1.00000
    7 0.1606948819E+02  0.4497580717E+05   0.1770079164E+07   39.35625    1.00000
    6 0.1283661417E+02  0.3878770492E+05   0.1781365993E+07   45.92605    1.00000
    5 0.9603740157E+01  0.3153772789E+05   0.1791145406E+07   56.79374    1.00000
    4 0.6371062992E+01  0.2351611384E+05   0.1799152186E+07   76.50721    1.00000
    3 0.3138385827E+01  0.1401980630E+05   0.1805183546E+07  128.75952    1.00000
    2 0.7610236220E+00  0.9266753334E+04   0.1808822174E+07  195.19481    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7769255591E+04   0.1751564855E+07  225.44822    1.00000
   27 0.7469153543E+02  0.1116595726E+05   0.1751931110E+07  156.89932    1.00000
   26 0.7151633858E+02  0.1759034062E+05   0.1753465908E+07   99.68345    1.00000
   25 0.6834114173E+02  0.2300116844E+05   0.1757256299E+07   76.39857    1.00000
   24 0.6600354331E+02  0.2574849727E+05   0.1763200605E+07   68.47781    1.00000
   23 0.6366594488E+02  0.3111725883E+05   0.1766782006E+07   56.77820    1.00000
   22 0.6049074803E+02  0.3662528007E+05   0.1776574277E+07   48.50678    1.00000
   21 0.5731555118E+02  0.4140564432E+05   0.1787169616E+07   43.16246    1.00000
   20 0.5414035433E+02  0.4571555322E+05   0.1798901650E+07   39.34988    1.00000
   19 0.5096515748E+02  0.4951564704E+05   0.1811868393E+07   36.59184    1.00000
   18 0.4778996063E+02  0.5219338697E+05   0.1826079574E+07   34.98680    1.00000
   17 0.4545236220E+02  0.5150752237E+05   0.1841255020E+07   35.74730    1.00000
   16 0.4311476378E+02  0.5605757081E+05   0.1848454385E+07   32.97421    1.00000
   15 0.3993956693E+02  0.5858666427E+05   0.1865173840E+07   31.83615    1.00000
   14 0.3676437008E+02  0.5976132219E+05   0.1882379687E+07   31.49829    1.00000
   13 0.3358917323E+02  0.6009009886E+05   0.1899866712E+07   31.61697    1.00000
   12 0.3041397638E+02  0.5950689004E+05   0.1917441320E+07   32.22217    1.00000
   11 0.2723877953E+02  0.5735853200E+05   0.1934840744E+07   33.73240    1.00000
   10 0.2490118110E+02  0.5280751535E+05   0.1951552734E+07   36.95597    1.00000
    9 0.2253484252E+02  0.5342253526E+05   0.1958830735E+07   36.66675    1.00000
    8 0.1930216535E+02  0.5004670104E+05   0.1974713329E+07   39.45741    1.00000
    7 0.1606948819E+02  0.4497580697E+05   0.1989501594E+07   44.23493    1.00000
    6 0.1283661417E+02  0.3878770515E+05   0.2002738990E+07   51.63335    1.00000
    5 0.9603740157E+01  0.3153772855E+05   0.2014100014E+07   63.86319    1.00000
    4 0.6371062992E+01  0.2351611476E+05   0.2023278552E+07   86.03796    1.00000
    3 0.3138385827E+01  0.1401980718E+05   0.2030071052E+07  144.80021    1.00000
    2 0.7610236220E+00  0.9266752959E+04   0.2034077738E+07  219.50275    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            1   SURF. No.            4
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.7769254574E+04   0.1569182236E+07  201.97333    1.00000
   27 0.7469153543E+02  0.1116595638E+05   0.1568778957E+07  140.49660    1.00000
   26 0.7151633858E+02  0.1759034048E+05   0.1569031556E+07   89.19848    1.00000
   25 0.6834114173E+02  0.2300116902E+05   0.1571085141E+07   68.30458    1.00000
   24 0.6600354331E+02  0.2574849926E+05   0.1575128962E+07   61.17362    1.00000
   23 0.6366594488E+02  0.3111726114E+05   0.1578141834E+07   50.71596    1.00000
   22 0.6049074803E+02  0.3662528323E+05   0.1587265152E+07   43.33796    1.00000
   21 0.5731555118E+02  0.4140564770E+05   0.1596279551E+07   38.55222    1.00000
   20 0.5414035433E+02  0.4571555745E+05   0.1605854202E+07   35.12708    1.00000
   19 0.5096515748E+02  0.4951565134E+05   0.1616240271E+07   32.64100    1.00000
   18 0.4778996063E+02  0.5219339108E+05   0.1627579955E+07   31.18364    1.00000
   17 0.4545236220E+02  0.5150752682E+05   0.1639904480E+07   31.83815    1.00000
   16 0.4311476378E+02  0.5605757400E+05   0.1646063010E+07   29.36379    1.00000
   15 0.3993956693E+02  0.5858666627E+05   0.1660954892E+07   28.35039    1.00000
   14 0.3676437008E+02  0.5976132332E+05   0.1675758910E+07   28.04086    1.00000
   13 0.3358917323E+02  0.6009009930E+05   0.1690629085E+07   28.13490    1.00000
   12 0.3041397638E+02  0.5950688994E+05   0.1705531453E+07   28.66108    1.00000
   11 0.2723877953E+02  0.5735853135E+05   0.1720353653E+07   29.99299    1.00000
   10 0.2490118110E+02  0.5280751491E+05   0.1734786553E+07   32.85113    1.00000
    9 0.2253484252E+02  0.5342253429E+05   0.1741229361E+07   32.59354    1.00000
    8 0.1930216535E+02  0.5004670042E+05   0.1755287673E+07   35.07299    1.00000
    7 0.1606948819E+02  0.4497580614E+05   0.1768357187E+07   39.31797    1.00000
    6 0.1283661417E+02  0.3878770405E+05   0.1780116826E+07   45.89384    1.00000
    5 0.9603740157E+01  0.3153772723E+05   0.1790308846E+07   56.76721    1.00000
