
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.8731470639E+04   0.1453039247E+07  166.41403    1.00000
   27 0.7469153543E+02  0.1236050000E+05   0.1453476280E+07  117.59041    1.00000
   26 0.7151633858E+02  0.1918550430E+05   0.1454680675E+07   75.82186    1.00000
   25 0.6834114173E+02  0.2510693306E+05   0.1457696175E+07   58.05951    1.00000
   24 0.6600354331E+02  0.2800978597E+05   0.1462391186E+07   52.21001    1.00000
   23 0.6366594488E+02  0.3402172955E+05   0.1465410782E+07   43.07279    1.00000
   22 0.6049074803E+02  0.4006516002E+05   0.1473730723E+07   36.78335    1.00000
   21 0.5731555118E+02  0.4531539451E+05   0.1482509776E+07   32.71537    1.00000
   20 0.5414035433E+02  0.5005942798E+05   0.1492049642E+07   29.80557    1.00000
   19 0.5096515748E+02  0.5425549412E+05   0.1502492746E+07   27.69291    1.00000
   18 0.4778996063E+02  0.5722011660E+05   0.1513888594E+07   26.45728    1.00000
   17 0.4545236220E+02  0.5624674130E+05   0.1526140947E+07   27.13297    1.00000
   16 0.4311476378E+02  0.6152818539E+05   0.1532062663E+07   24.90018    1.00000
   15 0.3993956693E+02  0.6436167035E+05   0.1545686589E+07   24.01564    1.00000
   14 0.3676437008E+02  0.6570759873E+05   0.1559665201E+07   23.73645    1.00000
   13 0.3358917323E+02  0.6612879258E+05   0.1573846332E+07   23.79971    1.00000
   12 0.3041397638E+02  0.6554919809E+05   0.1588141569E+07   24.22824    1.00000
   11 0.2723877953E+02  0.6323597330E+05   0.1602401465E+07   25.34003    1.00000
   10 0.2490118110E+02  0.5799551433E+05   0.1616282217E+07   27.86909    1.00000
    9 0.2253484252E+02  0.5897913463E+05   0.1622383329E+07   27.50775    1.00000
    8 0.1930216535E+02  0.5530886624E+05   0.1635407638E+07   29.56863    1.00000
    7 0.1606948819E+02  0.4974745556E+05   0.1647672542E+07   33.12074    1.00000
    6 0.1283661417E+02  0.4293310251E+05   0.1658761353E+07   38.63595    1.00000
    5 0.9603740157E+01  0.3490767413E+05   0.1668409867E+07   47.79493    1.00000
    4 0.6371062992E+01  0.2602619718E+05   0.1676338478E+07   64.40966    1.00000
    3 0.3138385827E+01  0.1591773340E+05   0.1682335354E+07  105.68938    1.00000
    2 0.7610236220E+00  0.1109362990E+05   0.1685784437E+07  151.95968    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.8731466322E+04   0.1541307462E+07  176.52332    1.00000
   27 0.7469153543E+02  0.1236049568E+05   0.1541419090E+07  124.70528    1.00000
   26 0.7151633858E+02  0.1918549982E+05   0.1542422738E+07   80.39523    1.00000
   25 0.6834114173E+02  0.2510692824E+05   0.1545344241E+07   61.55051    1.00000
   24 0.6600354331E+02  0.2800977987E+05   0.1550271015E+07   55.34749    1.00000
   23 0.6366594488E+02  0.3402172346E+05   0.1553513251E+07   45.66239    1.00000
