
 TIME =    0.0000000000000000     
 CHANNEL           20   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1460045175E+05   0.1389546405E+07   95.17147    1.00000
   27 0.7469153543E+02  0.2038009027E+05   0.1388329724E+07   68.12186    1.00000
   26 0.7151633858E+02  0.3712151367E+05   0.1387309326E+07   37.37211    1.00000
   25 0.6834114173E+02  0.4841571646E+05   0.1389397458E+07   28.69724    1.00000
   24 0.6600354331E+02  0.5401794455E+05   0.1394342428E+07   25.81258    1.00000
   23 0.6366594488E+02  0.6561685466E+05   0.1398467397E+07   21.31262    1.00000
   22 0.6049074803E+02  0.7736695668E+05   0.1413396473E+07   18.26874    1.00000
   21 0.5731555118E+02  0.8763354009E+05   0.1427472239E+07   16.28911    1.00000
   20 0.5414035433E+02  0.9696865291E+05   0.1442414966E+07   14.87506    1.00000
   19 0.5096515748E+02  0.1052896956E+06   0.1458596567E+07   13.85317    1.00000
   18 0.4778996063E+02  0.1112745637E+06   0.1476283197E+07   13.26703    1.00000
   17 0.4545236220E+02  0.1096086836E+06   0.1495678382E+07   13.64562    1.00000
   16 0.4311476378E+02  0.1201170678E+06   0.1505509837E+07   12.53369    1.00000
   15 0.3993956693E+02  0.1260350046E+06   0.1531446011E+07   12.15096    1.00000
   14 0.3676437008E+02  0.1290893357E+06   0.1557035507E+07   12.06169    1.00000
   13 0.3358917323E+02  0.1303440896E+06   0.1582997811E+07   12.14476    1.00000
   12 0.3041397638E+02  0.1296288348E+06   0.1609331480E+07   12.41492    1.00000
   11 0.2723877953E+02  0.1254849113E+06   0.1635884042E+07   13.03650    1.00000
   10 0.2490118110E+02  0.1153682644E+06   0.1662151989E+07   14.40736    1.00000
    9 0.2253484252E+02  0.1176564095E+06   0.1673971258E+07   14.22762    1.00000
    8 0.1930216535E+02  0.1107373240E+06   0.1701155561E+07   15.36208    1.00000
    7 0.1606948819E+02  0.9997344201E+05   0.1726614295E+07   17.27073    1.00000
    6 0.1283661417E+02  0.8657789895E+05   0.1749899812E+07   20.21185    1.00000
    5 0.9603740157E+01  0.7062742007E+05   0.1770404921E+07   25.06682    1.00000
    4 0.6371062992E+01  0.5286950058E+05   0.1787440915E+07   33.80855    1.00000
    3 0.3138385827E+01  0.2765437321E+05   0.1800452116E+07   65.10551    1.00000
    2 0.7610236220E+00  0.2003870475E+05   0.1807439500E+07   90.19742    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1460044588E+05   0.1272053886E+07   87.12432    1.00000
   27 0.7469153543E+02  0.2038008473E+05   0.1272141709E+07   62.42083    1.00000
   26 0.7151633858E+02  0.3712150772E+05   0.1273322859E+07   34.30149    1.00000
   25 0.6834114173E+02  0.4841571080E+05   0.1277572441E+07   26.38756    1.00000
   24 0.6600354331E+02  0.5401793756E+05   0.1284654055E+07   23.78199    1.00000
   23 0.6366594488E+02  0.6561684778E+05   0.1289148306E+07   19.64661    1.00000
   22 0.6049074803E+02  0.7736695043E+05   0.1301697869E+07   16.82499    1.00000
   21 0.5731555118E+02  0.8763353440E+05   0.1315380483E+07   15.01001    1.00000
   20 0.5414035433E+02  0.9696864811E+05   0.1330662666E+07   13.72261    1.00000
   19 0.5096515748E+02  0.1052896917E+06   0.1347774635E+07   12.80063    1.00000
   18 0.4778996063E+02  0.1112745608E+06   0.1366874767E+07   12.28380    1.00000
   17 0.4545236220E+02  0.1096086808E+06   0.1387815762E+07   12.66155    1.00000
   16 0.4311476378E+02  0.1201170650E+06   0.1397965224E+07   11.63836    1.00000
   15 0.3993956693E+02  0.1260350020E+06   0.1421563567E+07   11.27912    1.00000
   14 0.3676437008E+02  0.1290893336E+06   0.1446210559E+07   11.20318    1.00000
   13 0.3358917323E+02  0.1303440883E+06   0.1471678921E+07   11.29072    1.00000
   12 0.3041397638E+02  0.1296288339E+06   0.1497772537E+07   11.55432    1.00000
   11 0.2723877953E+02  0.1254849107E+06   0.1524194039E+07   12.14643    1.00000
   10 0.2490118110E+02  0.1153682639E+06   0.1550259523E+07   13.43749    1.00000
    9 0.2253484252E+02  0.1176564098E+06   0.1561782892E+07   13.27410    1.00000
    8 0.1930216535E+02  0.1107373255E+06   0.1586734174E+07   14.32881    1.00000
    7 0.1606948819E+02  0.9997344327E+05   0.1610377435E+07   16.10805    1.00000
    6 0.1283661417E+02  0.8657789940E+05   0.1631908541E+07   18.84902    1.00000
    5 0.9603740157E+01  0.7062741966E+05   0.1650731322E+07   23.37239    1.00000
    4 0.6371062992E+01  0.5286949939E+05   0.1666238370E+07   31.51606    1.00000
    3 0.3138385827E+01  0.2765437190E+05   0.1677971046E+07   60.67652    1.00000
    2 0.7610236220E+00  0.2003870539E+05   0.1684695396E+07   84.07207    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           20   ROD No.            2   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1463761598E+05   0.1389546405E+07   94.92983    1.00000
   27 0.7469153543E+02  0.2043531131E+05   0.1388329724E+07   67.93778    1.00000
   26 0.7151633858E+02  0.3719727342E+05   0.1387309326E+07   37.29600    1.00000
   25 0.6834114173E+02  0.4851241893E+05   0.1389397458E+07   28.64004    1.00000
   24 0.6600354331E+02  0.5413463791E+05   0.1394342428E+07   25.75694    1.00000
   23 0.6366594488E+02  0.6574943244E+05   0.1398467397E+07   21.26965    1.00000
   22 0.6049074803E+02  0.7752461427E+05   0.1413396473E+07   18.23158    1.00000
   21 0.5731555118E+02  0.8781220533E+05   0.1427472239E+07   16.25597    1.00000
   20 0.5414035433E+02  0.9716776262E+05   0.1442414966E+07   14.84458    1.00000
   19 0.5096515748E+02  0.1055085989E+06   0.1458596567E+07   13.82443    1.00000
   18 0.4778996063E+02  0.1115058896E+06   0.1476283197E+07   13.23951    1.00000
   17 0.4545236220E+02  0.1098556839E+06   0.1495678382E+07   13.61494    1.00000
   16 0.4311476378E+02  0.1203708384E+06   0.1505509837E+07   12.50726    1.00000
   15 0.3993956693E+02  0.1263049005E+06   0.1531446011E+07   12.12499    1.00000
   14 0.3676437008E+02  0.1293669294E+06   0.1557035507E+07   12.03581    1.00000
   13 0.3358917323E+02  0.1306268400E+06   0.1582997811E+07   12.11847    1.00000
   12 0.3041397638E+02  0.1299137803E+06   0.1609331480E+07   12.38769    1.00000
   11 0.2723877953E+02  0.1257612245E+06   0.1635884042E+07   13.00786    1.00000
   10 0.2490118110E+02  0.1156433285E+06   0.1662151989E+07   14.37309    1.00000
    9 0.2253484252E+02  0.1179190692E+06   0.1673971258E+07   14.19593    1.00000
    8 0.1930216535E+02  0.1109882704E+06   0.1701155561E+07   15.32735    1.00000
    7 0.1606948819E+02  0.1002007109E+06   0.1726614295E+07   17.23156    1.00000
    6 0.1283661417E+02  0.8677569751E+05   0.1749899812E+07   20.16578    1.00000
    5 0.9603740157E+01  0.7078977493E+05   0.1770404921E+07   25.00933    1.00000
    4 0.6371062992E+01  0.5299280613E+05   0.1787440915E+07   33.72988    1.00000
    3 0.3138385827E+01  0.2773553016E+05   0.1800452116E+07   64.91501    1.00000
    2 0.7610236220E+00  0.1999459043E+05   0.1807439500E+07   90.39643    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           21   ROD No.            2   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1463760641E+05   0.1382463760E+07   94.44603    1.00000
   27 0.7469153543E+02  0.2043530208E+05   0.1381273856E+07   67.59253    1.00000
   26 0.7151633858E+02  0.3719726412E+05   0.1380390585E+07   37.11000    1.00000
   25 0.6834114173E+02  0.4851241025E+05   0.1382768759E+07   28.50340    1.00000
   24 0.6600354331E+02  0.5413462998E+05   0.1388085642E+07   25.64136    1.00000
   23 0.6366594488E+02  0.6574942531E+05   0.1392292270E+07   21.17573    1.00000
