
 TIME =    0.0000000000000000     
 CHANNEL           19   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2274803105E+05   0.1188078634E+07   52.22776    1.00000
   27 0.7469153543E+02  0.3216398075E+05   0.1188882969E+07   36.96318    1.00000
   26 0.7151633858E+02  0.5059854217E+05   0.1191364303E+07   23.54543    1.00000
   25 0.6834114173E+02  0.6605151418E+05   0.1197250245E+07   18.12601    1.00000
   24 0.6600354331E+02  0.7415593859E+05   0.1206513252E+07   16.26995    1.00000
   23 0.6366594488E+02  0.8956053652E+05   0.1212259226E+07   13.53564    1.00000
   22 0.6049074803E+02  0.1057288399E+06   0.1228949928E+07   11.62360    1.00000
   21 0.5731555118E+02  0.1199275188E+06   0.1247744166E+07   10.40415    1.00000
   20 0.5414035433E+02  0.1329379433E+06   0.1269008664E+07    9.54587    1.00000
   19 0.5096515748E+02  0.1446396989E+06   0.1292879135E+07    8.93862    1.00000
   18 0.4778996063E+02  0.1531472400E+06   0.1319448855E+07    8.61556    1.00000
   17 0.4545236220E+02  0.1520483964E+06   0.1348476809E+07    8.86873    1.00000
   16 0.4311476378E+02  0.1659397498E+06   0.1362620908E+07    8.21154    1.00000
   15 0.3993956693E+02  0.1746231670E+06   0.1396824024E+07    7.99908    1.00000
   14 0.3676437008E+02  0.1793615199E+06   0.1432913290E+07    7.98897    1.00000
   13 0.3358917323E+02  0.1816400593E+06   0.1470537179E+07    8.09589    1.00000
   12 0.3041397638E+02  0.1811960168E+06   0.1509368715E+07    8.33003    1.00000
   11 0.2723877953E+02  0.1758860053E+06   0.1548965932E+07    8.80665    1.00000
   10 0.2490118110E+02  0.1629749247E+06   0.1588339843E+07    9.74592    1.00000
    9 0.2253484252E+02  0.1656761981E+06   0.1606001169E+07    9.69361    1.00000
    8 0.1930216535E+02  0.1564649748E+06   0.1645481394E+07   10.51661    1.00000
    7 0.1606948819E+02  0.1416878969E+06   0.1683344055E+07   11.88065    1.00000
    6 0.1283661417E+02  0.1230635476E+06   0.1718241813E+07   13.96223    1.00000
    5 0.9603740157E+01  0.1006813235E+06   0.1749087826E+07   17.37252    1.00000
    4 0.6371062992E+01  0.7542515614E+05   0.1774757392E+07   23.53005    1.00000
    3 0.3138385827E+01  0.4504407262E+05   0.1794322370E+07   39.83482    1.00000
    2 0.7610236220E+00  0.2973367787E+05   0.1806206392E+07   60.74615    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            9   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2274803462E+05   0.1323082309E+07   58.16249    1.00000
   27 0.7469153543E+02  0.3216398402E+05   0.1325198060E+07   41.20130    1.00000
   26 0.7151633858E+02  0.5059854354E+05   0.1329847170E+07   26.28232    1.00000
   25 0.6834114173E+02  0.6605151404E+05   0.1338592193E+07   20.26588    1.00000
