
 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2012069354E+05   0.1261302106E+07   62.68681    1.00000
   27 0.7469153543E+02  0.2765770340E+05   0.1259380276E+07   45.53452    1.00000
   26 0.7151633858E+02  0.5019632812E+05   0.1257574655E+07   25.05312    1.00000
   25 0.6834114173E+02  0.6535317886E+05   0.1259608104E+07   19.27386    1.00000
   24 0.6600354331E+02  0.7293290984E+05   0.1265099359E+07   17.34607    1.00000
   23 0.6366594488E+02  0.8858268542E+05   0.1269788110E+07   14.33450    1.00000
   22 0.6049074803E+02  0.1045474280E+06   0.1287254913E+07   12.31264    1.00000
   21 0.5731555118E+02  0.1185659639E+06   0.1303949147E+07   10.99767    1.00000
   20 0.5414035433E+02  0.1314076846E+06   0.1321959260E+07   10.05998    1.00000
   19 0.5096515748E+02  0.1429659070E+06   0.1341758358E+07    9.38516    1.00000
   18 0.4778996063E+02  0.1514068104E+06   0.1363681708E+07    9.00674    1.00000
   17 0.4545236220E+02  0.1494662530E+06   0.1387946287E+07    9.28602    1.00000
   16 0.4311476378E+02  0.1640423735E+06   0.1400253912E+07    8.53593    1.00000
   15 0.3993956693E+02  0.1726028213E+06   0.1432954907E+07    8.30204    1.00000
   14 0.3676437008E+02  0.1772978435E+06   0.1465682816E+07    8.26678    1.00000
   13 0.3358917323E+02  0.1795827709E+06   0.1499313050E+07    8.34887    1.00000
   12 0.3041397638E+02  0.1791985279E+06   0.1533847801E+07    8.55949    1.00000
   11 0.2723877953E+02  0.1740657789E+06   0.1569077466E+07    9.01428    1.00000
   10 0.2490118110E+02  0.1604748111E+06   0.1604305020E+07    9.99724    1.00000
    9 0.2253484252E+02  0.1640606643E+06   0.1620223506E+07    9.87576    1.00000
    8 0.1930216535E+02  0.1549527616E+06   0.1657163856E+07   10.69464    1.00000
    7 0.1606948819E+02  0.1403737564E+06   0.1692222845E+07   12.05512    1.00000
    6 0.1283661417E+02  0.1219768724E+06   0.1724653182E+07   14.13918    1.00000
    5 0.9603740157E+01  0.9981466355E+05   0.1753502731E+07   17.56759    1.00000
    4 0.6371062992E+01  0.7492109436E+05   0.1777676528E+07   23.72732    1.00000
    3 0.3138385827E+01  0.3936421667E+05   0.1796257374E+07   45.63173    1.00000
    2 0.7610236220E+00  0.2863131359E+05   0.1806293979E+07   63.08806    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
