
 TIME =    0.0000000000000000     
 CHANNEL           20   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2429802542E+05   0.1098607072E+07   45.21384    1.00000
   27 0.7469153543E+02  0.3332348521E+05   0.1101987795E+07   33.06940    1.00000
   26 0.7151633858E+02  0.5135208525E+05   0.1108074656E+07   21.57799    1.00000
   25 0.6834114173E+02  0.6696845714E+05   0.1117699257E+07   16.68994    1.00000
   24 0.6600354331E+02  0.7500851124E+05   0.1130454494E+07   15.07102    1.00000
   23 0.6366594488E+02  0.9099811153E+05   0.1137293817E+07   12.49799    1.00000
   22 0.6049074803E+02  0.1075499810E+06   0.1155155965E+07   10.74064    1.00000
   21 0.5731555118E+02  0.1221807736E+06   0.1176419226E+07    9.62851    1.00000
   20 0.5414035433E+02  0.1357010925E+06   0.1200944585E+07    8.84993    1.00000
   19 0.5096515748E+02  0.1479925817E+06   0.1228658410E+07    8.30216    1.00000
   18 0.4778996063E+02  0.1570721998E+06   0.1259457729E+07    8.01834    1.00000
   17 0.4545236220E+02  0.1556775386E+06   0.1292794013E+07    8.30431    1.00000
   16 0.4311476378E+02  0.1708395009E+06   0.1308635916E+07    7.66003    1.00000
   15 0.3993956693E+02  0.1802103623E+06   0.1346215448E+07    7.47024    1.00000
   14 0.3676437008E+02  0.1855752559E+06   0.1386423080E+07    7.47095    1.00000
   13 0.3358917323E+02  0.1884547309E+06   0.1428609336E+07    7.58065    1.00000
   12 0.3041397638E+02  0.1885477914E+06   0.1472297346E+07    7.80862    1.00000
   11 0.2723877953E+02  0.1835667540E+06   0.1516893868E+07    8.26345    1.00000
   10 0.2490118110E+02  0.1698137187E+06   0.1561190054E+07    9.19354    1.00000
    9 0.2253484252E+02  0.1736571040E+06   0.1580867235E+07    9.10338    1.00000
    8 0.1930216535E+02  0.1644423437E+06   0.1625044299E+07    9.88215    1.00000
    7 0.1606948819E+02  0.1492998593E+06   0.1667458902E+07   11.16852    1.00000
    6 0.1283661417E+02  0.1299927574E+06   0.1706584931E+07   13.12831    1.00000
    5 0.9603740157E+01  0.1065426400E+06   0.1741191175E+07   16.34267    1.00000
    4 0.6371062992E+01  0.7998203690E+05   0.1769986563E+07   22.12980    1.00000
    3 0.3138385827E+01  0.4917060572E+05   0.1791923578E+07   36.44298    1.00000
    2 0.7610236220E+00  0.3445940136E+05   0.1805489389E+07   52.39468    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2429802799E+05   0.1035423580E+07   42.61348    1.00000
   27 0.7469153543E+02  0.3332348896E+05   0.1039287899E+07   31.18785    1.00000
   26 0.7151633858E+02  0.5135208960E+05   0.1045868542E+07   20.36662    1.00000
   25 0.6834114173E+02  0.6696846189E+05   0.1056121530E+07   15.77043    1.00000
   24 0.6600354331E+02  0.7500851398E+05   0.1069210423E+07   14.25452    1.00000
   23 0.6366594488E+02  0.9099811598E+05   0.1076024928E+07   11.82469    1.00000
   22 0.6049074803E+02  0.1075499846E+06   0.1092776704E+07   10.16064    1.00000
   21 0.5731555118E+02  0.1221807769E+06   0.1112841709E+07    9.10816    1.00000
   20 0.5414035433E+02  0.1357010940E+06   0.1136050440E+07    8.37171    1.00000
   19 0.5096515748E+02  0.1479925843E+06   0.1162350383E+07    7.85411    1.00000
   18 0.4778996063E+02  0.1570722026E+06   0.1191608441E+07    7.58637    1.00000
   17 0.4545236220E+02  0.1556775393E+06   0.1223234388E+07    7.85749    1.00000
   16 0.4311476378E+02  0.1708395016E+06   0.1238165500E+07    7.24754    1.00000
   15 0.3993956693E+02  0.1802103611E+06   0.1272339326E+07    7.06030    1.00000
   14 0.3676437008E+02  0.1855752547E+06   0.1309056174E+07    7.05404    1.00000
   13 0.3358917323E+02  0.1884547301E+06   0.1347609243E+07    7.15084    1.00000
   12 0.3041397638E+02  0.1885477911E+06   0.1387558715E+07    7.35919    1.00000
   11 0.2723877953E+02  0.1835667543E+06   0.1428335877E+07    7.78102    1.00000
