
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2950038936E+05   0.6676294636E+06   22.63121    1.41713
   27 0.7469153543E+02  0.3984829119E+05   0.6455508260E+06   16.20021    1.47154
   26 0.7151633858E+02  0.6045935445E+05   0.7485925263E+06   12.38175    1.27767
   25 0.6834114173E+02  0.7863431104E+05   0.8042512626E+06   10.22774    1.20212
   24 0.6600354331E+02  0.8822128510E+05   0.7863262472E+06    8.91311    1.24655
   23 0.6366594488E+02  0.1069667885E+06   0.8586699602E+06    8.02744    1.14975
   22 0.6049074803E+02  0.1266088680E+06   0.9061399886E+06    7.15700    1.10913
   21 0.5731555118E+02  0.1441098540E+06   0.9473180146E+06    6.57358    1.08343
   20 0.5414035433E+02  0.1604133675E+06   0.9896883991E+06    6.16961    1.06203
   19 0.5096515748E+02  0.1753705780E+06   0.1037734784E+07    5.91738    1.03996
   18 0.4778996063E+02  0.1866277913E+06   0.1083608634E+07    5.80626    1.02498
   17 0.4545236220E+02  0.1856356114E+06   0.1061822370E+07    5.71993    1.07827
   16 0.4311476378E+02  0.2039094545E+06   0.1128200333E+07    5.53285    1.02925
   15 0.3993956693E+02  0.2157687027E+06   0.1180901902E+07    5.47300    1.01531
   14 0.3676437008E+02  0.2229381955E+06   0.1230680985E+07    5.52028    1.00745
   13 0.3358917323E+02  0.2271730571E+06   0.1282265057E+07    5.64444    1.00069
   12 0.3041397638E+02  0.2280744814E+06   0.1328451467E+07    5.82464    1.00000
   11 0.2723877953E+02  0.2228399101E+06   0.1375203573E+07    6.17126    1.00000
   10 0.2490118110E+02  0.2069667798E+06   0.1422113720E+07    6.87122    1.00000
    9 0.2253484252E+02  0.2119615541E+06   0.1442971485E+07    6.80770    1.00000
    8 0.1930216535E+02  0.2014366401E+06   0.1489099208E+07    7.39239    1.00000
    7 0.1606948819E+02  0.1835677116E+06   0.1533876430E+07    8.35592    1.00000
    6 0.1283661417E+02  0.1603828275E+06   0.1575606582E+07    9.82404    1.00000
    5 0.9603740157E+01  0.1318633493E+06   0.1612897370E+07   12.23158    1.00000
    4 0.6371062992E+01  0.9938876275E+05   0.1644232695E+07   16.54345    1.00000
    3 0.3138385827E+01  0.6177352428E+05   0.1668359739E+07   27.00768    1.00000
    2 0.7610236220E+00  0.4267166670E+05   0.1682355122E+07   39.42558    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2950038953E+05   0.6951312701E+06   23.56346    1.43564
   27 0.7469153543E+02  0.3984829044E+05   0.6745744827E+06   16.92857    1.48510
