
 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279795889E+05   0.1414044211E+07  110.48982    1.00000
   27 0.7469153543E+02  0.1794854557E+05   0.1414616659E+07   78.81511    1.00000
   26 0.7151633858E+02  0.2779971146E+05   0.1416489539E+07   50.95339    1.00000
   25 0.6834114173E+02  0.3633230364E+05   0.1420917056E+07   39.10892    1.00000
   24 0.6600354331E+02  0.4053424618E+05   0.1427876296E+07   35.22642    1.00000
   23 0.6366594488E+02  0.4923322306E+05   0.1432144895E+07   29.08899    1.00000
   22 0.6049074803E+02  0.5801063332E+05   0.1444193516E+07   24.89532    1.00000
   21 0.5731555118E+02  0.6566415350E+05   0.1457680245E+07   22.19903    1.00000
   20 0.5414035433E+02  0.7262247231E+05   0.1472742602E+07   20.27943    1.00000
   19 0.5096515748E+02  0.7882803323E+05   0.1489454576E+07   18.89499    1.00000
   18 0.4778996063E+02  0.8326051108E+05   0.1507846166E+07   18.10998    1.00000
   17 0.4545236220E+02  0.8195910021E+05   0.1527697891E+07   18.63976    1.00000
   16 0.4311476378E+02  0.8976802815E+05   0.1537243026E+07   17.12462    1.00000
   15 0.3993956693E+02  0.9408632679E+05   0.1559958321E+07   16.58007    1.00000
   14 0.3676437008E+02  0.9624776562E+05   0.1583562857E+07   16.45298    1.00000
   13 0.3358917323E+02  0.9708223185E+05   0.1607764638E+07   16.56085    1.00000
   12 0.3041397638E+02  0.9646723092E+05   0.1632343084E+07   16.92122    1.00000
   11 0.2723877953E+02  0.9328899722E+05   0.1657009911E+07   17.76212    1.00000
   10 0.2490118110E+02  0.8570188255E+05   0.1681143605E+07   19.61618    1.00000
    9 0.2253484252E+02  0.8733023643E+05   0.1691801212E+07   19.37246    1.00000
    8 0.1930216535E+02  0.8209972360E+05   0.1715378201E+07   20.89384    1.00000
    7 0.1606948819E+02  0.7401992246E+05   0.1737608318E+07   23.47487    1.00000
    6 0.1283661417E+02  0.6403321890E+05   0.1757810283E+07   27.45154    1.00000
    5 0.9603740157E+01  0.5218246230E+05   0.1775452549E+07   34.02393    1.00000
    4 0.6371062992E+01  0.3899263696E+05   0.1789978800E+07   45.90556    1.00000
    3 0.3138385827E+01  0.2394249819E+05   0.1800959089E+07   75.22018    1.00000
    2 0.7610236220E+00  0.1685584055E+05   0.1807725171E+07  107.24622    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279795695E+05   0.1428644055E+07  111.63063    1.00000
   27 0.7469153543E+02  0.1794854429E+05   0.1429014722E+07   79.61730    1.00000
   26 0.7151633858E+02  0.2779971090E+05   0.1430622805E+07   51.46179    1.00000
   25 0.6834114173E+02  0.3633230390E+05   0.1434767444E+07   39.49013    1.00000
   24 0.6600354331E+02  0.4053424703E+05   0.1441455046E+07   35.56141    1.00000
   23 0.6366594488E+02  0.4923322395E+05   0.1445599394E+07   29.36227    1.00000
   22 0.6049074803E+02  0.5801063440E+05   0.1457218933E+07   25.11986    1.00000
   21 0.5731555118E+02  0.6566415285E+05   0.1470181406E+07   22.38941    1.00000
   20 0.5414035433E+02  0.7262247360E+05   0.1484665080E+07   20.44360    1.00000
   19 0.5096515748E+02  0.7882803442E+05   0.1500782528E+07   19.03869    1.00000
   18 0.4778996063E+02  0.8326051217E+05   0.1518600283E+07   18.23914    1.00000
   17 0.4545236220E+02  0.8195910103E+05   0.1537922067E+07   18.76451    1.00000
   16 0.4311476378E+02  0.8976802876E+05   0.1547220209E+07   17.23576    1.00000
   15 0.3993956693E+02  0.9408632715E+05   0.1569051373E+07   16.67672    1.00000
   14 0.3676437008E+02  0.9624776589E+05   0.1591806426E+07   16.53863    1.00000
   13 0.3358917323E+02  0.9708223213E+05   0.1615170888E+07   16.63714    1.00000
   12 0.3041397638E+02  0.9646723121E+05   0.1638944821E+07   16.98965    1.00000
   11 0.2723877953E+02  0.9328899767E+05   0.1662855899E+07   17.82478    1.00000
   10 0.2490118110E+02  0.8570188283E+05   0.1686291200E+07   19.67624    1.00000
    9 0.2253484252E+02  0.8733023712E+05   0.1696625225E+07   19.42770    1.00000
    8 0.1930216535E+02  0.8209972464E+05   0.1719211750E+07   20.94053    1.00000
    7 0.1606948819E+02  0.7401992358E+05   0.1740566285E+07   23.51483    1.00000
    6 0.1283661417E+02  0.6403321993E+05   0.1759971237E+07   27.48528    1.00000
    5 0.9603740157E+01  0.5218246311E+05   0.1776909713E+07   34.05186    1.00000
    4 0.6371062992E+01  0.3899263754E+05   0.1790844860E+07   45.92777    1.00000
    3 0.3138385827E+01  0.2394249845E+05   0.1801363397E+07   75.23707    1.00000
    2 0.7610236220E+00  0.1685584047E+05   0.1807834596E+07  107.25271    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279796368E+05   0.1328119654E+07  103.77586    1.00000
   27 0.7469153543E+02  0.1794855088E+05   0.1329281565E+07   74.06066    1.00000
   26 0.7151633858E+02  0.2779971718E+05   0.1331771229E+07   47.90593    1.00000
   25 0.6834114173E+02  0.3633230998E+05   0.1336842588E+07   36.79487    1.00000
