
 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1136303023E+05   0.1450458529E+07  127.64716    1.00000
   27 0.7469153543E+02  0.1597302092E+05   0.1451320870E+07   90.86076    1.00000
   26 0.7151633858E+02  0.2476771868E+05   0.1453528050E+07   58.68639    1.00000
   25 0.6834114173E+02  0.3239841964E+05   0.1458090534E+07   45.00499    1.00000
   24 0.6600354331E+02  0.3613851264E+05   0.1464922946E+07   40.53634    1.00000
   23 0.6366594488E+02  0.4391694695E+05   0.1468988486E+07   33.44924    1.00000
   22 0.6049074803E+02  0.5174002442E+05   0.1480538946E+07   28.61496    1.00000
   21 0.5731555118E+02  0.5855285704E+05   0.1493248131E+07   25.50257    1.00000
   20 0.5414035433E+02  0.6473675652E+05   0.1507409404E+07   23.28522    1.00000
   19 0.5096515748E+02  0.7024113098E+05   0.1523038206E+07   21.68300    1.00000
   18 0.4778996063E+02  0.7415829557E+05   0.1540108099E+07   20.76785    1.00000
   17 0.4545236220E+02  0.7293594278E+05   0.1558370086E+07   21.36628    1.00000
   16 0.4311476378E+02  0.7988726236E+05   0.1567091012E+07   19.61628    1.00000
   15 0.3993956693E+02  0.8367305139E+05   0.1587898873E+07   18.97742    1.00000
   14 0.3676437008E+02  0.8553251090E+05   0.1609366059E+07   18.81584    1.00000
   13 0.3358917323E+02  0.8620672703E+05   0.1631268347E+07   18.92275    1.00000
   12 0.3041397638E+02  0.8559058489E+05   0.1653385510E+07   19.31738    1.00000
   11 0.2723877953E+02  0.8269989927E+05   0.1675445493E+07   20.25934    1.00000
   10 0.2490118110E+02  0.7589062413E+05   0.1696897046E+07   22.35977    1.00000
    9 0.2253484252E+02  0.7731287140E+05   0.1706339952E+07   22.07058    1.00000
    8 0.1930216535E+02  0.7261358525E+05   0.1727239349E+07   23.78672    1.00000
    7 0.1606948819E+02  0.6540362398E+05   0.1746826962E+07   26.70841    1.00000
    6 0.1283661417E+02  0.5652599122E+05   0.1764543448E+07   31.21650    1.00000
    5 0.9603740157E+01  0.4602060268E+05   0.1779952785E+07   38.67730    1.00000
    4 0.6371062992E+01  0.3435480020E+05   0.1792599449E+07   52.17901    1.00000
    3 0.3138385827E+01  0.2109815666E+05   0.1802137631E+07   85.41683    1.00000
    2 0.7610236220E+00  0.1489109131E+05   0.1808013636E+07  121.41579    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1136302603E+05   0.1456717261E+07  128.19800    1.00000
   27 0.7469153543E+02  0.1597301726E+05   0.1457273528E+07   91.23345    1.00000
   26 0.7151633858E+02  0.2476771551E+05   0.1459139831E+07   58.91298    1.00000
   25 0.6834114173E+02  0.3239841543E+05   0.1463491955E+07   45.17171    1.00000
   24 0.6600354331E+02  0.3613851100E+05   0.1470320602E+07   40.68570    1.00000
   23 0.6366594488E+02  0.4391694549E+05   0.1474456792E+07   33.57376    1.00000
