
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2370114456E+05   0.7973690759E+06   33.64264    1.33215
   27 0.7469153543E+02  0.3255553459E+05   0.6986475017E+06   21.46018    1.52168
   26 0.7151633858E+02  0.5898882128E+05   0.8839653334E+06   14.98530    1.20588
   25 0.6834114173E+02  0.7674178634E+05   0.9366836498E+06   12.20565    1.14555
   24 0.6600354331E+02  0.8588301776E+05   0.9005024507E+06   10.48522    1.20338
   23 0.6366594488E+02  0.1041620300E+06   0.9776115447E+06    9.38549    1.11463
   22 0.6049074803E+02  0.1230475644E+06   0.1019801549E+07    8.28786    1.08354
   21 0.5731555118E+02  0.1397100546E+06   0.1055498887E+07    7.55492    1.06415
   20 0.5414035433E+02  0.1550651982E+06   0.1092088374E+07    7.04277    1.04795
   19 0.5096515748E+02  0.1689860058E+06   0.1134936682E+07    6.71616    1.02995
   18 0.4778996063E+02  0.1792527104E+06   0.1178581325E+07    6.57497    1.01540
   17 0.4545236220E+02  0.1775841517E+06   0.1148522171E+07    6.46748    1.06864
   16 0.4311476378E+02  0.1947827399E+06   0.1214646079E+07    6.23590    1.02245
   15 0.3993956693E+02  0.2053381939E+06   0.1261463833E+07    6.14335    1.01076
   14 0.3676437008E+02  0.2113382912E+06   0.1305862335E+07    6.17901    1.00379
   13 0.3358917323E+02  0.2144972583E+06   0.1348664327E+07    6.28756    1.00000
   12 0.3041397638E+02  0.2144888052E+06   0.1388213223E+07    6.47219    1.00000
   11 0.2723877953E+02  0.2087565609E+06   0.1428880771E+07    6.84472    1.00000
   10 0.2490118110E+02  0.1931301293E+06   0.1469428784E+07    7.60849    1.00000
    9 0.2253484252E+02  0.1973710633E+06   0.1487303041E+07    7.53557    1.00000
    8 0.1930216535E+02  0.1868017218E+06   0.1526190255E+07    8.17011    1.00000
    7 0.1606948819E+02  0.1695456747E+06   0.1563547220E+07    9.22198    1.00000
    6 0.1283661417E+02  0.1475780536E+06   0.1597930192E+07   10.82770    1.00000
    5 0.9603740157E+01  0.1209368392E+06   0.1628234821E+07   13.46351    1.00000
    4 0.6371062992E+01  0.9095637719E+05   0.1653342096E+07   18.17731    1.00000
    3 0.3138385827E+01  0.4752623829E+05   0.1672416093E+07   35.18932    1.00000
    2 0.7610236220E+00  0.3291534139E+05   0.1683364439E+07   51.14224    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2370113626E+05   0.8701190426E+06   36.71212    1.31519
   27 0.7469153543E+02  0.3255552642E+05   0.7549202664E+06   23.18870    1.51299
   26 0.7151633858E+02  0.5898881429E+05   0.9468341057E+06   16.05108    1.20445
   25 0.6834114173E+02  0.7674178057E+05   0.9975233128E+06   12.99844    1.14627
   24 0.6600354331E+02  0.8588301410E+05   0.9547060615E+06   11.11635    1.20527
   23 0.6366594488E+02  0.1041620282E+06   0.1035732927E+07    9.94348    1.11622
   22 0.6049074803E+02  0.1230475681E+06   0.1081915411E+07    8.79266    1.08448
   21 0.5731555118E+02  0.1397100585E+06   0.1118896367E+07    8.00870    1.06505
   20 0.5414035433E+02  0.1550651562E+06   0.1155840099E+07    7.45390    1.04884
   19 0.5096515748E+02  0.1689859990E+06   0.1198897472E+07    7.09466    1.03075
   18 0.4778996063E+02  0.1792527106E+06   0.1242237359E+07    6.93009    1.01634
   17 0.4545236220E+02  0.1775840354E+06   0.1208088200E+07    6.80291    1.07002
   16 0.4311476378E+02  0.1947827423E+06   0.1278006146E+07    6.56119    1.02322
   15 0.3993956693E+02  0.2053381943E+06   0.1329768127E+07    6.47599    1.01106
   14 0.3676437008E+02  0.2113382834E+06   0.1377731837E+07    6.51908    1.00387
   13 0.3358917323E+02  0.2144972333E+06   0.1423596728E+07    6.63690    1.00000
   12 0.3041397638E+02  0.2144888078E+06   0.1466013228E+07    6.83492    1.00000
   11 0.2723877953E+02  0.2087565631E+06   0.1509975906E+07    7.23319    1.00000
