
 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2744219710E+05   0.7623227118E+06   27.77922    1.38916
   27 0.7469153543E+02  0.3825027728E+05   0.7304448593E+06   19.09646    1.45119
   26 0.7151633858E+02  0.5988885097E+05   0.8512321520E+06   14.21353    1.24881
   25 0.6834114173E+02  0.7807048304E+05   0.9072155232E+06   11.62047    1.17939
   24 0.6600354331E+02  0.8780131154E+05   0.8824839617E+06   10.05092    1.22467
   23 0.6366594488E+02  0.1059146864E+06   0.9573728272E+06    9.03909    1.13574
   22 0.6049074803E+02  0.1251727378E+06   0.1006721104E+07    8.04265    1.09844
   21 0.5731555118E+02  0.1421845514E+06   0.1048275293E+07    7.37264    1.07511
   20 0.5414035433E+02  0.1578812066E+06   0.1090458873E+07    6.90683    1.05574
   19 0.5096515748E+02  0.1721151794E+06   0.1138394332E+07    6.61414    1.03543
   18 0.4778996063E+02  0.1826210935E+06   0.1184057142E+07    6.48368    1.02160
   17 0.4545236220E+02  0.1819159168E+06   0.1161535841E+07    6.38501    1.07074
   16 0.4311476378E+02  0.1986020397E+06   0.1228236282E+07    6.18441    1.02612
   15 0.3993956693E+02  0.2095433365E+06   0.1283553093E+07    6.12548    1.01294
   14 0.3676437008E+02  0.2158261287E+06   0.1335125128E+07    6.18611    1.00567
   13 0.3358917323E+02  0.2192010687E+06   0.1387302970E+07    6.32891    1.00014
   12 0.3041397638E+02  0.2193195062E+06   0.1434237126E+07    6.53949    1.00000
   11 0.2723877953E+02  0.2135508708E+06   0.1482414996E+07    6.94174    1.00000
   10 0.2490118110E+02  0.1986135893E+06   0.1530810023E+07    7.70748    1.00000
    9 0.2253484252E+02  0.2021298088E+06   0.1552601728E+07    7.68121    1.00000
    8 0.1930216535E+02  0.1915168564E+06   0.1601394127E+07    8.36164    1.00000
    7 0.1606948819E+02  0.1739940638E+06   0.1648663124E+07    9.47540    1.00000
    6 0.1283661417E+02  0.1515842173E+06   0.1692630808E+07   11.16627    1.00000
    5 0.9603740157E+01  0.1243676827E+06   0.1731813937E+07   13.92495    1.00000
    4 0.6371062992E+01  0.9340383149E+05   0.1764645765E+07   18.89265    1.00000
    3 0.3138385827E+01  0.5598038866E+05   0.1789794697E+07   31.97182    1.00000
    2 0.7610236220E+00  0.3708883771E+05   0.1805119642E+07   48.67016    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2744219156E+05   0.7764757167E+06   28.29496    1.37642
   27 0.7469153543E+02  0.3825027295E+05   0.7410827157E+06   19.37457    1.44293
   26 0.7151633858E+02  0.5988884775E+05   0.8614018807E+06   14.38334    1.24420
   25 0.6834114173E+02  0.7807048092E+05   0.9168972679E+06   11.74448    1.17591
   24 0.6600354331E+02  0.8780131035E+05   0.8908928665E+06   10.14669    1.22198
   23 0.6366594488E+02  0.1059146857E+06   0.9659752320E+06    9.12031    1.13373
   22 0.6049074803E+02  0.1251727512E+06   0.1014719820E+07    8.10656    1.09716
   21 0.5731555118E+02  0.1421845513E+06   0.1055702512E+07    7.42487    1.07423
   20 0.5414035433E+02  0.1578812035E+06   0.1097273555E+07    6.94999    1.05515
   19 0.5096515748E+02  0.1721151754E+06   0.1144663437E+07    6.65057    1.03505
   18 0.4778996063E+02  0.1826210901E+06   0.1190003177E+07    6.51624    1.02126
   17 0.4545236220E+02  0.1819159121E+06   0.1167026211E+07    6.41520    1.07037
   16 0.4311476378E+02  0.1986020352E+06   0.1233759687E+07    6.21222    1.02593
   15 0.3993956693E+02  0.2095433313E+06   0.1288484337E+07    6.14901    1.01287
   14 0.3676437008E+02  0.2158261250E+06   0.1339538933E+07    6.20657    1.00565
   13 0.3358917323E+02  0.2192010676E+06   0.1391234958E+07    6.34684    1.00014
   12 0.3041397638E+02  0.2193195087E+06   0.1437753510E+07    6.55552    1.00000
   11 0.2723877953E+02  0.2135508716E+06   0.1485628400E+07    6.95679    1.00000
   10 0.2490118110E+02  0.1986135894E+06   0.1533875208E+07    7.72291    1.00000
    9 0.2253484252E+02  0.2021298103E+06   0.1555640273E+07    7.69624    1.00000
    8 0.1930216535E+02  0.1915168589E+06   0.1603918655E+07    8.37482    1.00000
    7 0.1606948819E+02  0.1739940667E+06   0.1650716890E+07    9.48720    1.00000
    6 0.1283661417E+02  0.1515842199E+06   0.1694232084E+07   11.17684    1.00000
    5 0.9603740157E+01  0.1243676847E+06   0.1732982114E+07   13.93434    1.00000
    4 0.6371062992E+01  0.9340383264E+05   0.1765403024E+07   18.90076    1.00000
    3 0.3138385827E+01  0.5598038910E+05   0.1790173671E+07   31.97859    1.00000
    2 0.7610236220E+00  0.3708883758E+05   0.1805230904E+07   48.67316    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2744220493E+05   0.8514418118E+06   31.02673    1.38944
   27 0.7469153543E+02  0.3825028511E+05   0.8174051315E+06   21.36991    1.45050
   26 0.7151633858E+02  0.5988885460E+05   0.9550859307E+06   15.94764    1.24727
   25 0.6834114173E+02  0.7807048470E+05   0.1020582402E+07   13.07258    1.17727
   24 0.6600354331E+02  0.8780130961E+05   0.9946833169E+06   11.32880    1.22251
   23 0.6366594488E+02  0.1059146835E+06   0.1079812667E+07   10.19512    1.13355
   22 0.6049074803E+02  0.1251727452E+06   0.1134899681E+07    9.06667    1.09662
   21 0.5731555118E+02  0.1421845518E+06   0.1181880880E+07    8.31230    1.07376
   20 0.5414035433E+02  0.1578812031E+06   0.1230226827E+07    7.79210    1.05468
   19 0.5096515748E+02  0.1721151726E+06   0.1285552372E+07    7.46914    1.03460
   18 0.4778996063E+02  0.1826210852E+06   0.1338975593E+07    7.33199    1.02071
   17 0.4545236220E+02  0.1819159074E+06   0.1315194338E+07    7.22968    1.06970
   16 0.4311476378E+02  0.1986020285E+06   0.1390661146E+07    7.00225    1.02540
   15 0.3993956693E+02  0.2095433268E+06   0.1452520635E+07    6.93184    1.01255
   14 0.3676437008E+02  0.2158261210E+06   0.1510655100E+07    6.99941    1.00552
   13 0.3358917323E+02  0.2192010670E+06   0.1569807510E+07    7.16150    1.00014
   12 0.3041397638E+02  0.2193195166E+06   0.1623321065E+07    7.40163    1.00000
   11 0.2723877953E+02  0.2135508728E+06   0.1678129300E+07    7.85822    1.00000
   10 0.2490118110E+02  0.1986135881E+06   0.1732787739E+07    8.72442    1.00000
    9 0.2253484252E+02  0.2021298134E+06   0.1757007750E+07    8.69247    1.00000
    8 0.1930216535E+02  0.1915168613E+06   0.1811302490E+07    9.45767    1.00000
    7 0.1606948819E+02  0.1739940695E+06   0.1863575441E+07   10.71057    1.00000
    6 0.1283661417E+02  0.1515842238E+06   0.1911757165E+07   12.61185    1.00000
    5 0.9603740157E+01  0.1243676899E+06   0.1954136550E+07   15.71257    1.00000
    4 0.6371062992E+01  0.9340383835E+05   0.1989012169E+07   21.29476    1.00000
    3 0.3138385827E+01  0.5598039331E+05   0.2015099385E+07   35.99652    1.00000
    2 0.7610236220E+00  0.3708883491E+05   0.2030557182E+07   54.74848    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            1   SURF. No.            4
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
