
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2011973278E+05   0.1156164114E+07   57.46419    1.00000
   27 0.7469153543E+02  0.2765768766E+05   0.1156082240E+07   41.79967    1.00000
   26 0.7151633858E+02  0.5019509224E+05   0.1157244337E+07   23.05493    1.00000
   25 0.6834114173E+02  0.6535526002E+05   0.1162085779E+07   17.78106    1.00000
   24 0.6600354331E+02  0.7292717454E+05   0.1170304407E+07   16.04758    1.00000
   23 0.6366594488E+02  0.8858496478E+05   0.1175499877E+07   13.26974    1.00000
   22 0.6049074803E+02  0.1045461279E+06   0.1189984338E+07   11.38239    1.00000
   21 0.5731555118E+02  0.1185659911E+06   0.1206136495E+07   10.17270    1.00000
   20 0.5414035433E+02  0.1314078181E+06   0.1224417901E+07    9.31769    1.00000
   19 0.5096515748E+02  0.1429634248E+06   0.1245121015E+07    8.70937    1.00000
   18 0.4778996063E+02  0.1514106562E+06   0.1268468714E+07    8.37767    1.00000
   17 0.4545236220E+02  0.1494535677E+06   0.1294297937E+07    8.66020    1.00000
   16 0.4311476378E+02  0.1640463116E+06   0.1306826204E+07    7.96620    1.00000
   15 0.3993956693E+02  0.1726003904E+06   0.1336002423E+07    7.74044    1.00000
   14 0.3676437008E+02  0.1772980704E+06   0.1366980069E+07    7.71007    1.00000
   13 0.3358917323E+02  0.1795830457E+06   0.1399373240E+07    7.79235    1.00000
   12 0.3041397638E+02  0.1791961160E+06   0.1432938782E+07    7.99648    1.00000
   11 0.2723877953E+02  0.1740691195E+06   0.1467307762E+07    8.42945    1.00000
   10 0.2490118110E+02  0.1604597000E+06   0.1501581804E+07    9.35800    1.00000
    9 0.2253484252E+02  0.1640637941E+06   0.1516794922E+07    9.24515    1.00000
    8 0.1930216535E+02  0.1549505943E+06   0.1549941397E+07   10.00281    1.00000
    7 0.1606948819E+02  0.1403742359E+06   0.1581741599E+07   11.26803    1.00000
    6 0.1283661417E+02  0.1219771478E+06   0.1610986151E+07   13.20728    1.00000
    5 0.9603740157E+01  0.9981489618E+05   0.1636768576E+07   16.39804    1.00000
    4 0.6371062992E+01  0.7492098097E+05   0.1658158276E+07   22.13210    1.00000
    3 0.3138385827E+01  0.3936225077E+05   0.1674428235E+07   42.53894    1.00000
    2 0.7610236220E+00  0.2857257364E+05   0.1683797098E+07   58.93054    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2011973946E+05   0.1266707220E+07   62.95843    1.00000
   27 0.7469153543E+02  0.2765769335E+05   0.1264568477E+07   45.72212    1.00000
   26 0.7151633858E+02  0.5019509738E+05   0.1262473378E+07   25.15133    1.00000
   25 0.6834114173E+02  0.6535526398E+05   0.1264283499E+07   19.34478    1.00000
   24 0.6600354331E+02  0.7292717942E+05   0.1269674867E+07   17.41017    1.00000
   23 0.6366594488E+02  0.8858497018E+05   0.1274343307E+07   14.38555    1.00000
   22 0.6049074803E+02  0.1045461353E+06   0.1291227070E+07   12.35079    1.00000
   21 0.5731555118E+02  0.1185659965E+06   0.1307531085E+07   11.02788    1.00000
   20 0.5414035433E+02  0.1314078241E+06   0.1325138200E+07   10.08417    1.00000
   19 0.5096515748E+02  0.1429634293E+06   0.1344572271E+07    9.40501    1.00000
   18 0.4778996063E+02  0.1514106605E+06   0.1366254617E+07    9.02350    1.00000
   17 0.4545236220E+02  0.1494535714E+06   0.1390478677E+07    9.30375    1.00000
   16 0.4311476378E+02  0.1640463157E+06   0.1402816984E+07    8.55135    1.00000
   15 0.3993956693E+02  0.1726003943E+06   0.1434875003E+07    8.31328    1.00000
   14 0.3676437008E+02  0.1772980735E+06   0.1467189070E+07    8.27527    1.00000
