
 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1784733878E+05   0.1289390050E+07   72.24551    1.00000
   27 0.7469153543E+02  0.2464504867E+05   0.1288142025E+07   52.26778    1.00000
   26 0.7151633858E+02  0.4480806906E+05   0.1287434902E+07   28.73221    1.00000
   25 0.6834114173E+02  0.5840965573E+05   0.1290631838E+07   22.09621    1.00000
   24 0.6600354331E+02  0.6516632204E+05   0.1297282530E+07   19.90725    1.00000
   23 0.6366594488E+02  0.7919710300E+05   0.1302298111E+07   16.44376    1.00000
   22 0.6049074803E+02  0.9342832838E+05   0.1318050025E+07   14.10761    1.00000
   21 0.5731555118E+02  0.1059062056E+06   0.1334311808E+07   12.59900    1.00000
   20 0.5414035433E+02  0.1173110498E+06   0.1351907594E+07   11.52413    1.00000
   19 0.5096515748E+02  0.1275475363E+06   0.1371379960E+07   10.75191    1.00000
   18 0.4778996063E+02  0.1349845648E+06   0.1393050328E+07   10.32007    1.00000
   17 0.4545236220E+02  0.1330868462E+06   0.1417038917E+07   10.64748    1.00000
   16 0.4311476378E+02  0.1460530512E+06   0.1429090936E+07    9.78474    1.00000
   15 0.3993956693E+02  0.1534967098E+06   0.1460203995E+07    9.51293    1.00000
   14 0.3676437008E+02  0.1574868398E+06   0.1491201750E+07    9.46874    1.00000
   13 0.3358917323E+02  0.1593190856E+06   0.1523040645E+07    9.55969    1.00000
   12 0.3041397638E+02  0.1587726776E+06   0.1555724832E+07    9.79844    1.00000
   11 0.2723877953E+02  0.1540181771E+06   0.1589021867E+07   10.31711    1.00000
   10 0.2490118110E+02  0.1417621736E+06   0.1622208186E+07   11.44317    1.00000
    9 0.2253484252E+02  0.1448578382E+06   0.1637109674E+07   11.30149    1.00000
    8 0.1930216535E+02  0.1366118087E+06   0.1671222954E+07   12.23337    1.00000
    7 0.1606948819E+02  0.1235742127E+06   0.1703410789E+07   13.78452    1.00000
    6 0.1283661417E+02  0.1072248909E+06   0.1733036147E+07   16.16263    1.00000
    5 0.9603740157E+01  0.8762151265E+05   0.1759242499E+07   20.07775    1.00000
    4 0.6371062992E+01  0.6567979181E+05   0.1781066549E+07   27.11742    1.00000
    3 0.3138385827E+01  0.3450045699E+05   0.1797731042E+07   52.10746    1.00000
    2 0.7610236220E+00  0.2516098695E+05   0.1806690486E+07   71.80523    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1784733714E+05   0.1295466177E+07   72.58596    1.00000
   27 0.7469153543E+02  0.2464504830E+05   0.1294310945E+07   52.51809    1.00000
   26 0.7151633858E+02  0.4480806908E+05   0.1293771574E+07   28.87363    1.00000
   25 0.6834114173E+02  0.5840965477E+05   0.1297190484E+07   22.20849    1.00000
   24 0.6600354331E+02  0.6516632271E+05   0.1304110865E+07   20.01204    1.00000
   23 0.6366594488E+02  0.7919710351E+05   0.1309224755E+07   16.53122    1.00000
   22 0.6049074803E+02  0.9342832871E+05   0.1324044156E+07   14.17176    1.00000
   21 0.5731555118E+02  0.1059062050E+06   0.1340167461E+07   12.65429    1.00000
   20 0.5414035433E+02  0.1173110499E+06   0.1357626423E+07   11.57288    1.00000
   19 0.5096515748E+02  0.1275475362E+06   0.1377003578E+07   10.79600    1.00000
   18 0.4778996063E+02  0.1349845645E+06   0.1398653571E+07   10.36158    1.00000
   17 0.4545236220E+02  0.1330868456E+06   0.1422709924E+07   10.69009    1.00000
