
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1432570372E+05   0.1312949668E+07   91.64992    1.00000
   27 0.7469153543E+02  0.2013655617E+05   0.1313696771E+07   65.23940    1.00000
   26 0.7151633858E+02  0.3083012926E+05   0.1315542378E+07   42.67067    1.00000
   25 0.6834114173E+02  0.4024663659E+05   0.1319973295E+07   32.79711    1.00000
   24 0.6600354331E+02  0.4495292905E+05   0.1326715612E+07   29.51344    1.00000
   23 0.6366594488E+02  0.5457867145E+05   0.1330824416E+07   24.38360    1.00000
   22 0.6049074803E+02  0.6434813447E+05   0.1342311544E+07   20.86015    1.00000
   21 0.5731555118E+02  0.7288097511E+05   0.1355042179E+07   18.59254    1.00000
   20 0.5414035433E+02  0.8064401382E+05   0.1369274207E+07   16.97924    1.00000
   19 0.5096515748E+02  0.8756974122E+05   0.1385093232E+07   15.81703    1.00000
   18 0.4778996063E+02  0.9253404709E+05   0.1402534305E+07   15.15695    1.00000
   17 0.4545236220E+02  0.9120708518E+05   0.1421381223E+07   15.58411    1.00000
   16 0.4311476378E+02  0.9987423465E+05   0.1430421589E+07   14.32223    1.00000
   15 0.3993956693E+02  0.1047725502E+06   0.1451523168E+07   13.85404    1.00000
   14 0.3676437008E+02  0.1072765651E+06   0.1473573309E+07   13.73621    1.00000
   13 0.3358917323E+02  0.1082894431E+06   0.1496274855E+07   13.81737    1.00000
   12 0.3041397638E+02  0.1076703531E+06   0.1519438100E+07   14.11194    1.00000
   11 0.2723877953E+02  0.1041836084E+06   0.1542793917E+07   14.80841    1.00000
   10 0.2490118110E+02  0.9583387172E+05   0.1565736070E+07   16.33802    1.00000
    9 0.2253484252E+02  0.9763399352E+05   0.1575851676E+07   16.14040    1.00000
    8 0.1930216535E+02  0.9186699220E+05   0.1597862066E+07   17.39321    1.00000
    7 0.1606948819E+02  0.8289616459E+05   0.1618732053E+07   19.52722    1.00000
    6 0.1283661417E+02  0.7175631404E+05   0.1637782347E+07   22.82423    1.00000
    5 0.9603740157E+01  0.5850141556E+05   0.1654502849E+07   28.28142    1.00000
    4 0.6371062992E+01  0.4378044259E+05   0.1668345468E+07   38.10709    1.00000
    3 0.3138385827E+01  0.2708973321E+05   0.1678886750E+07   61.97502    1.00000
    2 0.7610236220E+00  0.1868856648E+05   0.1684956561E+07   90.15975    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1432570701E+05   0.1395594024E+07   97.41886    1.00000
   27 0.7469153543E+02  0.2013655919E+05   0.1396468043E+07   69.34988    1.00000
   26 0.7151633858E+02  0.3083013163E+05   0.1398791218E+07   45.37091    1.00000
