
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1782972634E+05   0.1218479330E+07   68.33977    1.00000
   27 0.7469153543E+02  0.2483736095E+05   0.1219897574E+07   49.11543    1.00000
   26 0.7151633858E+02  0.3793753345E+05   0.1222917629E+07   32.23503    1.00000
   25 0.6834114173E+02  0.4946527794E+05   0.1229032669E+07   24.84637    1.00000
   24 0.6600354331E+02  0.5528039468E+05   0.1237777495E+07   22.39089    1.00000
   23 0.6366594488E+02  0.6708643823E+05   0.1242766386E+07   18.52485    1.00000
   22 0.6049074803E+02  0.7914012635E+05   0.1255986992E+07   15.87042    1.00000
   21 0.5731555118E+02  0.8970874116E+05   0.1271238030E+07   14.17073    1.00000
   20 0.5414035433E+02  0.9937343843E+05   0.1288561497E+07   12.96686    1.00000
   19 0.5096515748E+02  0.1080514004E+06   0.1307995472E+07   12.10531    1.00000
   18 0.4778996063E+02  0.1143397750E+06   0.1329529488E+07   11.62788    1.00000
   17 0.4545236220E+02  0.1129031128E+06   0.1352828070E+07   11.98220    1.00000
   16 0.4311476378E+02  0.1237131893E+06   0.1363931488E+07   11.02495    1.00000
   15 0.3993956693E+02  0.1300133913E+06   0.1389750933E+07   10.68929    1.00000
   14 0.3676437008E+02  0.1333744846E+06   0.1416950742E+07   10.62385    1.00000
   13 0.3358917323E+02  0.1349086054E+06   0.1445148710E+07   10.71206    1.00000
   12 0.3041397638E+02  0.1344289133E+06   0.1474080451E+07   10.96550    1.00000
   11 0.2723877953E+02  0.1303661365E+06   0.1503387909E+07   11.53204    1.00000
   10 0.2490118110E+02  0.1201696920E+06   0.1532294185E+07   12.75109    1.00000
    9 0.2253484252E+02  0.1225825715E+06   0.1545050645E+07   12.60416    1.00000
    8 0.1930216535E+02  0.1155984697E+06   0.1572944437E+07   13.60697    1.00000
    7 0.1606948819E+02  0.1045426721E+06   0.1599486635E+07   15.29984    1.00000
    6 0.1283661417E+02  0.9069167546E+05   0.1623803714E+07   17.90466    1.00000
    5 0.9603740157E+01  0.7409165479E+05   0.1645214974E+07   22.20513    1.00000
    4 0.6371062992E+01  0.5555660858E+05   0.1662988354E+07   29.93322    1.00000
    3 0.3138385827E+01  0.3444293771E+05   0.1676552079E+07   48.67622    1.00000
    2 0.7610236220E+00  0.2380675958E+05   0.1684378081E+07   70.75209    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1782972514E+05   0.1306125533E+07   73.25551    1.00000
   27 0.7469153543E+02  0.2483735962E+05   0.1307397043E+07   52.63833    1.00000
   26 0.7151633858E+02  0.3793753191E+05   0.1310450330E+07   34.54232    1.00000
