
 TIME =    0.0000000000000000     
 CHANNEL           19   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2517910948E+05   0.8066027557E+06   32.03460    1.35493
   27 0.7469153543E+02  0.3373104495E+05   0.7067669683E+06   20.95301    1.54854
   26 0.7151633858E+02  0.6024468241E+05   0.8955935753E+06   14.86594    1.22558
   25 0.6834114173E+02  0.7834287868E+05   0.9515020440E+06   12.14535    1.16151
   24 0.6600354331E+02  0.8721613977E+05   0.9122553354E+06   10.45971    1.22343
   23 0.6366594488E+02  0.1064503060E+06   0.9973655689E+06    9.36931    1.12527
   22 0.6049074803E+02  0.1258116081E+06   0.1045457252E+07    8.30970    1.09071
   21 0.5731555118E+02  0.1429540378E+06   0.1085356008E+07    7.59234    1.06970
   20 0.5414035433E+02  0.1588396988E+06   0.1125889416E+07    7.08821    1.05222
   19 0.5096515748E+02  0.1733447290E+06   0.1172842068E+07    6.76595    1.03280
   18 0.4778996063E+02  0.1841159145E+06   0.1220194320E+07    6.62732    1.01702
   17 0.4545236220E+02  0.1814310791E+06   0.1182139961E+07    6.51564    1.07716
   16 0.4311476378E+02  0.2004430784E+06   0.1257592946E+07    6.27407    1.02488
   15 0.3993956693E+02  0.2115773142E+06   0.1310776621E+07    6.19526    1.01251
   14 0.3676437008E+02  0.2180496331E+06   0.1360040689E+07    6.23730    1.00576
   13 0.3358917323E+02  0.2216577749E+06   0.1410012693E+07    6.36121    1.00043
   12 0.3041397638E+02  0.2220395219E+06   0.1454985320E+07    6.55282    1.00000
   11 0.2723877953E+02  0.2164777939E+06   0.1500522005E+07    6.93153    1.00000
   10 0.2490118110E+02  0.1991510273E+06   0.1546156015E+07    7.76374    1.00000
    9 0.2253484252E+02  0.2051798731E+06   0.1566492113E+07    7.63473    1.00000
    8 0.1930216535E+02  0.1945173638E+06   0.1612878342E+07    8.29169    1.00000
    7 0.1606948819E+02  0.1768322578E+06   0.1657750556E+07    9.37471    1.00000
    6 0.1283661417E+02  0.1541722702E+06   0.1699503986E+07   11.02341    1.00000
    5 0.9603740157E+01  0.1264708039E+06   0.1736733782E+07   13.73229    1.00000
    4 0.6371062992E+01  0.9511051503E+05   0.1767931285E+07   18.58818    1.00000
    3 0.3138385827E+01  0.5118495946E+05   0.1791877222E+07   35.00789    1.00000
    2 0.7610236220E+00  0.3881534786E+05   0.1805038918E+07   46.50323    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            9   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2517910149E+05   0.8917946357E+06   35.41805    1.36245
   27 0.7469153543E+02  0.3373103746E+05   0.7835528414E+06   23.22943    1.55389
   26 0.7151633858E+02  0.6024467533E+05   0.9957555663E+06   16.52852    1.22760
   25 0.6834114173E+02  0.7834287187E+05   0.1059815162E+07   13.52791    1.16275
   24 0.6600354331E+02  0.8721612956E+05   0.1017733834E+07   11.66910    1.22429
   23 0.6366594488E+02  0.1064502961E+06   0.1113711687E+07   10.46227    1.12554
   22 0.6049074803E+02  0.1258115964E+06   0.1167876859E+07    9.28274    1.09064
   21 0.5731555118E+02  0.1429540380E+06   0.1213321441E+07    8.48749    1.06961
   20 0.5414035433E+02  0.1588396988E+06   0.1259874039E+07    7.93173    1.05207
   19 0.5096515748E+02  0.1733447272E+06   0.1313952455E+07    7.58000    1.03262
   18 0.4778996063E+02  0.1841159115E+06   0.1368824924E+07    7.43458    1.01677
   17 0.4545236220E+02  0.1814310837E+06   0.1327825795E+07    7.31862    1.07680
   16 0.4311476378E+02  0.2004430734E+06   0.1413089863E+07    7.04983    1.02459
   15 0.3993956693E+02  0.2115773103E+06   0.1473121695E+07    6.96257    1.01231
   14 0.3676437008E+02  0.2180496301E+06   0.1529362615E+07    7.01383    1.00567
   13 0.3358917323E+02  0.2216577743E+06   0.1586637244E+07    7.15805    1.00042
   12 0.3041397638E+02  0.2220395198E+06   0.1638509030E+07    7.37936    1.00000
   11 0.2723877953E+02  0.2164777950E+06   0.1690945374E+07    7.81117    1.00000
   10 0.2490118110E+02  0.1991510264E+06   0.1743145521E+07    8.75288    1.00000
    9 0.2253484252E+02  0.2051798762E+06   0.1766144782E+07    8.60779    1.00000
    8 0.1930216535E+02  0.1945173664E+06   0.1818596387E+07    9.34928    1.00000
    7 0.1606948819E+02  0.1768322611E+06   0.1869246494E+07   10.57073    1.00000
    6 0.1283661417E+02  0.1541722744E+06   0.1916002780E+07   12.42767    1.00000
    5 0.9603740157E+01  0.1264708093E+06   0.1957215998E+07   15.47563    1.00000
    4 0.6371062992E+01  0.9511052033E+05   0.1991207686E+07   20.93572    1.00000
    3 0.3138385827E+01  0.5118496325E+05   0.2016758654E+07   39.40139    1.00000
    2 0.7610236220E+00  0.3881534393E+05   0.2030455224E+07   52.31063    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           19   ROD No.            2   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2461529699E+05   0.8097166748E+06   32.89486    1.34972
   27 0.7469153543E+02  0.3287802151E+05   0.7087375228E+06   21.55657    1.54424
   26 0.7151633858E+02  0.5849198900E+05   0.8956494538E+06   15.31234    1.22550
   25 0.6834114173E+02  0.7605028455E+05   0.9513770884E+06   12.50984    1.16166
   24 0.6600354331E+02  0.8470502960E+05   0.9125656939E+06   10.77345    1.22301
   23 0.6366594488E+02  0.1033386568E+06   0.9973307512E+06    9.65109    1.12531
   22 0.6049074803E+02  0.1221392581E+06   0.1045424952E+07    8.55929    1.09074
   21 0.5731555118E+02  0.1387861863E+06   0.1085314881E+07    7.82005    1.06975
   20 0.5414035433E+02  0.1542165116E+06   0.1125845529E+07    7.30042    1.05226
   19 0.5096515748E+02  0.1683072599E+06   0.1172773807E+07    6.96805    1.03286
   18 0.4778996063E+02  0.1787738377E+06   0.1220001392E+07    6.82427    1.01718
   17 0.4545236220E+02  0.1762640118E+06   0.1182472120E+07    6.70853    1.07686
   16 0.4311476378E+02  0.1946511323E+06   0.1257538894E+07    6.46048    1.02493
   15 0.3993956693E+02  0.2054810135E+06   0.1310724267E+07    6.37881    1.01255
   14 0.3676437008E+02  0.2117856688E+06   0.1359992950E+07    6.42155    1.00580
   13 0.3358917323E+02  0.2153100119E+06   0.1409978253E+07    6.54860    1.00045
   12 0.3041397638E+02  0.2157020562E+06   0.1454985320E+07    6.74535    1.00000
   11 0.2723877953E+02  0.2103212162E+06   0.1500522005E+07    7.13443    1.00000
   10 0.2490118110E+02  0.1936050359E+06   0.1546156015E+07    7.98614    1.00000
    9 0.2253484252E+02  0.1993788886E+06   0.1566492113E+07    7.85686    1.00000
    8 0.1930216535E+02  0.1890403742E+06   0.1612878342E+07    8.53193    1.00000
    7 0.1606948819E+02  0.1718734095E+06   0.1657750556E+07    9.64518    1.00000
    6 0.1283661417E+02  0.1498634839E+06   0.1699503986E+07   11.34035    1.00000
    5 0.9603740157E+01  0.1229505576E+06   0.1736733782E+07   14.12546    1.00000
    4 0.6371062992E+01  0.9248398650E+05   0.1767931285E+07   19.11608    1.00000
    3 0.3138385827E+01  0.5001255887E+05   0.1791877222E+07   35.82855    1.00000
    2 0.7610236220E+00  0.3808312952E+05   0.1805038918E+07   47.39734    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           20   ROD No.            2   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2461527541E+05   0.7752447057E+06   31.49446    1.38603
   27 0.7469153543E+02  0.3287800238E+05   0.6850327075E+06   20.83559    1.57087
   26 0.7151633858E+02  0.5849197373E+05   0.8722026461E+06   14.91149    1.23765
   25 0.6834114173E+02  0.7605027277E+05   0.9288029759E+06   12.21301    1.17081
   24 0.6600354331E+02  0.8470501819E+05   0.8933511274E+06   10.54661    1.23009
   23 0.6366594488E+02  0.1033386471E+06   0.9771019748E+06    9.45534    1.13123
   22 0.6049074803E+02  0.1221392546E+06   0.1024943944E+07    8.39160    1.09546
   21 0.5731555118E+02  0.1387861806E+06   0.1065608324E+07    7.67806    1.07321
   20 0.5414035433E+02  0.1542165144E+06   0.1107300765E+07    7.18017    1.05464
   19 0.5096515748E+02  0.1683072643E+06   0.1155616703E+07    6.86611    1.03435
   18 0.4778996063E+02  0.1787738413E+06   0.1203973834E+07    6.73462    1.01846
   17 0.4545236220E+02  0.1762640101E+06   0.1168637081E+07    6.63004    1.07825
   16 0.4311476378E+02  0.1946511342E+06   0.1244227929E+07    6.39209    1.02576
   15 0.3993956693E+02  0.2054810139E+06   0.1297945835E+07    6.31662    1.01299
   14 0.3676437008E+02  0.2117856695E+06   0.1348336992E+07    6.36652    1.00596
   13 0.3358917323E+02  0.2153100128E+06   0.1399677902E+07    6.50076    1.00046
   12 0.3041397638E+02  0.2157020567E+06   0.1446204353E+07    6.70464    1.00000
   11 0.2723877953E+02  0.2103212172E+06   0.1493477581E+07    7.10094    1.00000
   10 0.2490118110E+02  0.1936050357E+06   0.1540946699E+07    7.95923    1.00000
    9 0.2253484252E+02  0.1993788907E+06   0.1562035689E+07    7.83451    1.00000
    8 0.1930216535E+02  0.1890403776E+06   0.1609283208E+07    8.51291    1.00000
