
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279739188E+05   0.1342810434E+07  104.92845    1.00000
   27 0.7469153543E+02  0.1794862152E+05   0.1343882413E+07   74.87385    1.00000
   26 0.7151633858E+02  0.2779906230E+05   0.1346226958E+07   48.42706    1.00000
   25 0.6834114173E+02  0.3633358068E+05   0.1351068192E+07   37.18511    1.00000
   24 0.6600354331E+02  0.4053672137E+05   0.1358005290E+07   33.50062    1.00000
   23 0.6366594488E+02  0.4923463946E+05   0.1361994409E+07   27.66334    1.00000
   22 0.6049074803E+02  0.5801000880E+05   0.1372510302E+07   23.65989    1.00000
   21 0.5731555118E+02  0.6566430585E+05   0.1384562941E+07   21.08547    1.00000
   20 0.5414035433E+02  0.7262272666E+05   0.1398145081E+07   19.25217    1.00000
   19 0.5096515748E+02  0.7882674642E+05   0.1413270045E+07   17.92881    1.00000
   18 0.4778996063E+02  0.8326296998E+05   0.1429892370E+07   17.17321    1.00000
   17 0.4545236220E+02  0.8196397936E+05   0.1447722167E+07   17.66291    1.00000
   16 0.4311476378E+02  0.8977052725E+05   0.1456162482E+07   16.22094    1.00000
   15 0.3993956693E+02  0.9408502280E+05   0.1475425759E+07   15.68183    1.00000
   14 0.3676437008E+02  0.9624798260E+05   0.1495700276E+07   15.54007    1.00000
   13 0.3358917323E+02  0.9708244070E+05   0.1516555467E+07   15.62132    1.00000
   12 0.3041397638E+02  0.9646586135E+05   0.1537761425E+07   15.94099    1.00000
   11 0.2723877953E+02  0.9329119274E+05   0.1559034585E+07   16.71149    1.00000
   10 0.2490118110E+02  0.8570681712E+05   0.1579813644E+07   18.43277    1.00000
    9 0.2253484252E+02  0.8733227287E+05   0.1588910253E+07   18.19385    1.00000
    8 0.1930216535E+02  0.8209836277E+05   0.1608451283E+07   19.59176    1.00000
    7 0.1606948819E+02  0.7402005685E+05   0.1626980853E+07   21.98027    1.00000
    6 0.1283661417E+02  0.6403313303E+05   0.1643825018E+07   25.67148    1.00000
    5 0.9603740157E+01  0.5218236013E+05   0.1658539350E+07   31.78353    1.00000
    4 0.6371062992E+01  0.3899230520E+05   0.1670665034E+07   42.84602    1.00000
    3 0.3138385827E+01  0.2394107650E+05   0.1679852038E+07   70.16610    1.00000
    2 0.7610236220E+00  0.1682047870E+05   0.1685147228E+07  100.18426    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279738560E+05   0.1428646166E+07  111.63578    1.00000
   27 0.7469153543E+02  0.1794861492E+05   0.1429016703E+07   79.61710    1.00000
   26 0.7151633858E+02  0.2779905543E+05   0.1430624648E+07   51.46307    1.00000
   25 0.6834114173E+02  0.3633357363E+05   0.1434768990E+07   39.48879    1.00000
   24 0.6600354331E+02  0.4053671427E+05   0.1441456588E+07   35.55929    1.00000
   23 0.6366594488E+02  0.4923463271E+05   0.1445601109E+07   29.36147    1.00000
   22 0.6049074803E+02  0.5801000445E+05   0.1457220786E+07   25.12016    1.00000
   21 0.5731555118E+02  0.6566429963E+05   0.1470183060E+07   22.38938    1.00000
   20 0.5414035433E+02  0.7262272062E+05   0.1484666682E+07   20.44356    1.00000
   19 0.5096515748E+02  0.7882674098E+05   0.1500784081E+07   19.03902    1.00000
   18 0.4778996063E+02  0.8326296465E+05   0.1518601479E+07   18.23862    1.00000
   17 0.4545236220E+02  0.8196397528E+05   0.1537923493E+07   18.76341    1.00000
   16 0.4311476378E+02  0.8977052384E+05   0.1547222096E+07   17.23530    1.00000
   15 0.3993956693E+02  0.9408502050E+05   0.1569053669E+07   16.67698    1.00000
   14 0.3676437008E+02  0.9624798102E+05   0.1591808523E+07   16.53862    1.00000
   13 0.3358917323E+02  0.9708243950E+05   0.1615173077E+07   16.63713    1.00000
   12 0.3041397638E+02  0.9646586053E+05   0.1638947091E+07   16.98992    1.00000
   11 0.2723877953E+02  0.9329119221E+05   0.1662857930E+07   17.82438    1.00000
   10 0.2490118110E+02  0.8570681700E+05   0.1686293542E+07   19.67514    1.00000
    9 0.2253484252E+02  0.8733227228E+05   0.1696628095E+07   19.42728    1.00000
    8 0.1930216535E+02  0.8209836180E+05   0.1719215034E+07   20.94092    1.00000
    7 0.1606948819E+02  0.7402005610E+05   0.1740569430E+07   23.51484    1.00000
    6 0.1283661417E+02  0.6403313267E+05   0.1759974537E+07   27.48537    1.00000
    5 0.9603740157E+01  0.5218236028E+05   0.1776913131E+07   34.05199    1.00000
    4 0.6371062992E+01  0.3899230566E+05   0.1790848367E+07   45.92825    1.00000
    3 0.3138385827E+01  0.2394107679E+05   0.1801366951E+07   75.24168    1.00000
    2 0.7610236220E+00  0.1682047829E+05   0.1807837778E+07  107.47838    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279739231E+05   0.1328121841E+07  103.78066    1.00000
   27 0.7469153543E+02  0.1794862151E+05   0.1329283394E+07   74.06047    1.00000
   26 0.7151633858E+02  0.2779906169E+05   0.1331772869E+07   47.90712    1.00000
   25 0.6834114173E+02  0.3633357966E+05   0.1336843879E+07   36.79362    1.00000
   24 0.6600354331E+02  0.4053672005E+05   0.1344089794E+07   33.15734    1.00000
   23 0.6366594488E+02  0.4923463815E+05   0.1348245442E+07   27.38408    1.00000
   22 0.6049074803E+02  0.5801000934E+05   0.1359121218E+07   23.42908    1.00000
   21 0.5731555118E+02  0.6566430454E+05   0.1371621580E+07   20.88839    1.00000
   20 0.5414035433E+02  0.7262272546E+05   0.1385713471E+07   19.08099    1.00000
   19 0.5096515748E+02  0.7882674568E+05   0.1401412911E+07   17.77839    1.00000
   18 0.4778996063E+02  0.8326296918E+05   0.1418678233E+07   17.03853    1.00000
   17 0.4545236220E+02  0.8196397907E+05   0.1437216783E+07   17.53474    1.00000
   16 0.4311476378E+02  0.8977052684E+05   0.1446003286E+07   16.10777    1.00000
   15 0.3993956693E+02  0.9408502263E+05   0.1466050986E+07   15.58219    1.00000
   14 0.3676437008E+02  0.9624798256E+05   0.1487162542E+07   15.45136    1.00000
   13 0.3358917323E+02  0.9708244071E+05   0.1508885534E+07   15.54231    1.00000
   12 0.3041397638E+02  0.9646586135E+05   0.1530984893E+07   15.87074    1.00000
   11 0.2723877953E+02  0.9329119270E+05   0.1553169206E+07   16.64862    1.00000
   10 0.2490118110E+02  0.8570681713E+05   0.1574857471E+07   18.37494    1.00000
    9 0.2253484252E+02  0.8733227269E+05   0.1584361871E+07   18.14177    1.00000
    8 0.1930216535E+02  0.8209836245E+05   0.1604793599E+07   19.54721    1.00000
    7 0.1606948819E+02  0.7402005647E+05   0.1624176258E+07   21.94238    1.00000
    6 0.1283661417E+02  0.6403313261E+05   0.1641800935E+07   25.63987    1.00000
    5 0.9603740157E+01  0.5218235972E+05   0.1657201548E+07   31.75789    1.00000
    4 0.6371062992E+01  0.3899230487E+05   0.1669896039E+07   42.82630    1.00000
    3 0.3138385827E+01  0.2394107634E+05   0.1679515098E+07   70.15203    1.00000
    2 0.7610236220E+00  0.1682047879E+05   0.1685059184E+07  100.17903    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            2   ROD No.            1   SURF. No.            4
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1279738754E+05   0.1414045730E+07  110.49487    1.00000
   27 0.7469153543E+02  0.1794861623E+05   0.1414617816E+07   78.81487    1.00000
   26 0.7151633858E+02  0.2779905600E+05   0.1416490595E+07   50.95463    1.00000
   25 0.6834114173E+02  0.3633357337E+05   0.1420917816E+07   39.10757    1.00000
   24 0.6600354331E+02  0.4053671351E+05   0.1427877189E+07   35.22430    1.00000
   23 0.6366594488E+02  0.4923463182E+05   0.1432145973E+07   29.08818    1.00000
   22 0.6049074803E+02  0.5801000338E+05   0.1444194815E+07   24.89562    1.00000
   21 0.5731555118E+02  0.6566430031E+05   0.1457681342E+07   22.19899    1.00000
   20 0.5414035433E+02  0.7262271936E+05   0.1472743649E+07   20.27938    1.00000
   19 0.5096515748E+02  0.7882673980E+05   0.1489455605E+07   18.89531    1.00000
   18 0.4778996063E+02  0.8326296355E+05   0.1507846873E+07   18.10945    1.00000
   17 0.4545236220E+02  0.8196397460E+05   0.1527699112E+07   18.63867    1.00000
   16 0.4311476378E+02  0.8977052321E+05   0.1537244704E+07   17.12416    1.00000
   15 0.3993956693E+02  0.9408502015E+05   0.1559960607E+07   16.58033    1.00000
   14 0.3676437008E+02  0.9624798077E+05   0.1583564947E+07   16.45297    1.00000
   13 0.3358917323E+02  0.9708243923E+05   0.1607766846E+07   16.56084    1.00000
   12 0.3041397638E+02  0.9646586023E+05   0.1632345397E+07   16.92148    1.00000
   11 0.2723877953E+02  0.9329119173E+05   0.1657012022E+07   17.76172    1.00000
   10 0.2490118110E+02  0.8570681686E+05   0.1681146294E+07   19.61508    1.00000
    9 0.2253484252E+02  0.8733227156E+05   0.1691804367E+07   19.37204    1.00000
    8 0.1930216535E+02  0.8209836075E+05   0.1715381951E+07   20.89423    1.00000
    7 0.1606948819E+02  0.7402005499E+05   0.1737611918E+07   23.47488    1.00000
    6 0.1283661417E+02  0.6403313162E+05   0.1757814048E+07   27.45163    1.00000
    5 0.9603740157E+01  0.5218235948E+05   0.1775456385E+07   34.02407    1.00000
    4 0.6371062992E+01  0.3899230507E+05   0.1789982736E+07   45.90605    1.00000
    3 0.3138385827E+01  0.2394107653E+05   0.1800962912E+07   75.22481    1.00000
    2 0.7610236220E+00  0.1682047842E+05   0.1807728845E+07  107.47190    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            2   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1296893314E+05   0.1428646166E+07  110.15911    1.00000
   27 0.7469153543E+02  0.1832785129E+05   0.1429016703E+07   77.96968    1.00000
   26 0.7151633858E+02  0.2868866063E+05   0.1430624648E+07   49.86725    1.00000
   25 0.6834114173E+02  0.3750974386E+05   0.1434768990E+07   38.25057    1.00000
   24 0.6600354331E+02  0.4188763508E+05   0.1441456588E+07   34.41246    1.00000
   23 0.6366594488E+02  0.5081702002E+05   0.1445601109E+07   28.44718    1.00000
   22 0.6049074803E+02  0.5987988473E+05   0.1457220786E+07   24.33573    1.00000
   21 0.5731555118E+02  0.6777512512E+05   0.1470183060E+07   21.69207    1.00000
   20 0.5414035433E+02  0.7494911036E+05   0.1484666682E+07   19.80900    1.00000
