
 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1356274601E+05   0.1404360139E+07  103.54541    1.00000
   27 0.7469153543E+02  0.1848696310E+05   0.1403909141E+07   75.94050    1.00000
   26 0.7151633858E+02  0.3329297760E+05   0.1403987633E+07   42.17068    1.00000
   25 0.6834114173E+02  0.4346988167E+05   0.1407227406E+07   32.37247    1.00000
   24 0.6600354331E+02  0.4808874617E+05   0.1413085733E+07   29.38496    1.00000
   23 0.6366594488E+02  0.5893660220E+05   0.1416964071E+07   24.04217    1.00000
   22 0.6049074803E+02  0.6945088375E+05   0.1429295047E+07   20.57994    1.00000
   21 0.5731555118E+02  0.7863194636E+05   0.1442844852E+07   18.34935    1.00000
   20 0.5414035433E+02  0.8700151028E+05   0.1457773927E+07   16.75573    1.00000
   19 0.5096515748E+02  0.9450045211E+05   0.1474146029E+07   15.59935    1.00000
   18 0.4778996063E+02  0.9989082523E+05   0.1492084933E+07   14.93716    1.00000
   17 0.4545236220E+02  0.9750594981E+05   0.1511570412E+07   15.50234    1.00000
   16 0.4311476378E+02  0.1078067484E+06   0.1520975595E+07   14.10835    1.00000
   15 0.3993956693E+02  0.1130688831E+06   0.1544519114E+07   13.65998    1.00000
   14 0.3676437008E+02  0.1157605893E+06   0.1568946885E+07   13.55338    1.00000
   13 0.3358917323E+02  0.1168836397E+06   0.1593988477E+07   13.63740    1.00000
   12 0.3041397638E+02  0.1162860244E+06   0.1619436980E+07   13.92633    1.00000
   11 0.2723877953E+02  0.1126060686E+06   0.1645072021E+07   14.60909    1.00000
   10 0.2490118110E+02  0.1026022012E+06   0.1670350789E+07   16.27987    1.00000
    9 0.2253484252E+02  0.1055955050E+06   0.1681513101E+07   15.92410    1.00000
    8 0.1930216535E+02  0.9936948790E+05   0.1706802150E+07   17.17632    1.00000
    7 0.1606948819E+02  0.8968715686E+05   0.1730872570E+07   19.29900    1.00000
    6 0.1283661417E+02  0.7767420131E+05   0.1752921907E+07   22.56762    1.00000
    5 0.9603740157E+01  0.6333961499E+05   0.1772319275E+07   27.98121    1.00000
    4 0.6371062992E+01  0.4735803628E+05   0.1788399916E+07   37.76339    1.00000
    3 0.3138385827E+01  0.2556181218E+05   0.1800639656E+07   70.44257    1.00000
    2 0.7610236220E+00  0.2015658944E+05   0.1807352989E+07   89.66562    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1356274502E+05   0.1414426673E+07  104.28764    1.00000
   27 0.7469153543E+02  0.1848696261E+05   0.1413902238E+07   76.48105    1.00000
   26 0.7151633858E+02  0.3329297746E+05   0.1413910975E+07   42.46875    1.00000
   25 0.6834114173E+02  0.4346988198E+05   0.1417090597E+07   32.59937    1.00000
   24 0.6600354331E+02  0.4808874669E+05   0.1422948351E+07   29.59005    1.00000
   23 0.6366594488E+02  0.5893660292E+05   0.1426829613E+07   24.20957    1.00000
   22 0.6049074803E+02  0.6945088470E+05   0.1438836900E+07   20.71733    1.00000
   21 0.5731555118E+02  0.7863194748E+05   0.1452027654E+07   18.46613    1.00000
   20 0.5414035433E+02  0.8700151010E+05   0.1466574771E+07   16.85689    1.00000
   19 0.5096515748E+02  0.9450045320E+05   0.1482579645E+07   15.68860    1.00000
   18 0.4778996063E+02  0.9989082640E+05   0.1500211861E+07   15.01851    1.00000
   17 0.4545236220E+02  0.9750595043E+05   0.1519476359E+07   15.58342    1.00000
   16 0.4311476378E+02  0.1078067490E+06   0.1528802875E+07   14.18096    1.00000
   15 0.3993956693E+02  0.1130688832E+06   0.1551728067E+07   13.72374    1.00000
   14 0.3676437008E+02  0.1157605896E+06   0.1575522773E+07   13.61018    1.00000
   13 0.3358917323E+02  0.1168836402E+06   0.1599936099E+07   13.68828    1.00000
   12 0.3041397638E+02  0.1162860251E+06   0.1624788958E+07   13.97235    1.00000
   11 0.2723877953E+02  0.1126060698E+06   0.1649881979E+07   14.65180    1.00000
   10 0.2490118110E+02  0.1026022018E+06   0.1674683207E+07   16.32210    1.00000
    9 0.2253484252E+02  0.1055955065E+06   0.1685636333E+07   15.96314    1.00000
    8 0.1930216535E+02  0.9936949004E+05   0.1710147858E+07   17.20999    1.00000
    7 0.1606948819E+02  0.8968715899E+05   0.1733476977E+07   19.32804    1.00000
    6 0.1283661417E+02  0.7767420311E+05   0.1754834721E+07   22.59225    1.00000
    5 0.9603740157E+01  0.6333961635E+05   0.1773608831E+07   28.00157    1.00000
    4 0.6371062992E+01  0.4735803705E+05   0.1789153381E+07   37.77930    1.00000
    3 0.3138385827E+01  0.2556181248E+05   0.1800957902E+07   70.45502    1.00000
    2 0.7610236220E+00  0.2015658932E+05   0.1807438386E+07   89.66985    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1356273937E+05   0.1560690040E+07  115.07189    1.00000
   27 0.7469153543E+02  0.1848695626E+05   0.1560305326E+07   84.40034    1.00000
   26 0.7151633858E+02  0.3329296967E+05   0.1560781436E+07   46.88021    1.00000
   25 0.6834114173E+02  0.4346987352E+05   0.1565127709E+07   36.00488    1.00000
