
 TIME =    0.0000000000000000     
 CHANNEL           20   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2854792896E+05   0.6681737897E+06   23.40533    1.51191
   27 0.7469153543E+02  0.3819954067E+05   0.6037231752E+06   15.80446    1.67479
   26 0.7151633858E+02  0.6897183819E+05   0.7916203814E+06   11.47744    1.28024
   25 0.6834114173E+02  0.8964972882E+05   0.8457453294E+06    9.43389    1.20666
   24 0.6600354331E+02  0.1003951683E+06   0.8228930294E+06    8.19654    1.25333
   23 0.6366594488E+02  0.1218619208E+06   0.8999164802E+06    7.38472    1.15368
   22 0.6049074803E+02  0.1442050582E+06   0.9523780044E+06    6.60433    1.11123
   21 0.5731555118E+02  0.1640941459E+06   0.9957025837E+06    6.06787    1.08503
   20 0.5414035433E+02  0.1825956118E+06   0.1039177907E+07    5.69114    1.06343
   19 0.5096515748E+02  0.1995475192E+06   0.1088099981E+07    5.45284    1.04120
   18 0.4778996063E+02  0.2123097119E+06   0.1134429892E+07    5.34328    1.02615
   17 0.4545236220E+02  0.2108148850E+06   0.1108600436E+07    5.25864    1.08115
   16 0.4311476378E+02  0.2318398578E+06   0.1179978843E+07    5.08963    1.03026
   15 0.3993956693E+02  0.2452590856E+06   0.1240265071E+07    5.05696    1.01562
   14 0.3676437008E+02  0.2533517873E+06   0.1294991887E+07    5.11144    1.00739
   13 0.3358917323E+02  0.2581013005E+06   0.1351678439E+07    5.23701    1.00000
   12 0.3041397638E+02  0.2590657624E+06   0.1400874352E+07    5.40741    1.00000
   11 0.2723877953E+02  0.2531082753E+06   0.1451750558E+07    5.73569    1.00000
   10 0.2490118110E+02  0.2346587125E+06   0.1485402517E+07    6.33005    1.01197
    9 0.2253484252E+02  0.2406707466E+06   0.1526462287E+07    6.34253    1.00000
    8 0.1930216535E+02  0.2286666675E+06   0.1580469971E+07    6.91168    1.00000
    7 0.1606948819E+02  0.2083796091E+06   0.1632265774E+07    7.83314    1.00000
    6 0.1283661417E+02  0.1820681211E+06   0.1680698989E+07    9.23115    1.00000
    5 0.9603740157E+01  0.1497144698E+06   0.1724162564E+07   11.51634    1.00000
    4 0.6371062992E+01  0.1128189505E+06   0.1760813894E+07   15.60743    1.00000
    3 0.3138385827E+01  0.5944915769E+05   0.1789084032E+07   30.09435    1.00000
    2 0.7610236220E+00  0.4356279474E+05   0.1804384019E+07   41.42030    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2854791342E+05   0.6087029731E+06   21.32215    1.53928
   27 0.7469153543E+02  0.3819952705E+05   0.5562298664E+06   14.56117    1.69030
   26 0.7151633858E+02  0.6897182599E+05   0.7365089143E+06   10.67840    1.28444
   25 0.6834114173E+02  0.8964969003E+05   0.7916149568E+06    8.83009    1.20756
   24 0.6600354331E+02  0.1003951769E+06   0.7736994101E+06    7.70654    1.25257
   23 0.6366594488E+02  0.1218619178E+06   0.8463039917E+06    6.94478    1.15339
   22 0.6049074803E+02  0.1442050548E+06   0.8939857625E+06    6.19941    1.11166
   21 0.5731555118E+02  0.1640941425E+06   0.9354135509E+06    5.70047    1.08518
   20 0.5414035433E+02  0.1825956089E+06   0.9780581070E+06    5.35642    1.06322
   19 0.5096515748E+02  0.1995475168E+06   0.1026415524E+07    5.14371    1.04075
   18 0.4778996063E+02  0.2123097106E+06   0.1072875813E+07    5.05335    1.02539
   17 0.4545236220E+02  0.2108148787E+06   0.1050829264E+07    4.98461    1.08009
   16 0.4311476378E+02  0.2318398551E+06   0.1118339316E+07    4.82376    1.02967
   15 0.3993956693E+02  0.2452590810E+06   0.1171292562E+07    4.77574    1.01547
   14 0.3676437008E+02  0.2533517821E+06   0.1221934662E+07    4.82308    1.00734
   13 0.3358917323E+02  0.2581012960E+06   0.1275021222E+07    4.94000    1.00000
   12 0.3041397638E+02  0.2590657600E+06   0.1321293447E+07    5.10022    1.00000
   11 0.2723877953E+02  0.2531082799E+06   0.1369124902E+07    5.40925    1.00000
   10 0.2490118110E+02  0.2346587253E+06   0.1400548713E+07    5.96845    1.01189
    9 0.2253484252E+02  0.2406706933E+06   0.1438576465E+07    5.97736    1.00000
    8 0.1930216535E+02  0.2286666696E+06   0.1485482753E+07    6.49628    1.00000
    7 0.1606948819E+02  0.2083796112E+06   0.1531206174E+07    7.34816    1.00000
    6 0.1283661417E+02  0.1820681218E+06   0.1573791766E+07    8.64397    1.00000
    5 0.9603740157E+01  0.1497144689E+06   0.1611770603E+07   10.76563    1.00000
    4 0.6371062992E+01  0.1128189478E+06   0.1643602899E+07   14.56850    1.00000
    3 0.3138385827E+01  0.5944915503E+05   0.1668019854E+07   28.05792    1.00000
    2 0.7610236220E+00  0.4356279635E+05   0.1682161369E+07   38.61463    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           20   ROD No.            2   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2863541247E+05   0.6683230406E+06   23.33904    1.51157
   27 0.7469153543E+02  0.3832134821E+05   0.6040463605E+06   15.76266    1.67390
   26 0.7151633858E+02  0.6914373259E+05   0.7916274966E+06   11.44901    1.28023
   25 0.6834114173E+02  0.8986859995E+05   0.8456965465E+06    9.41037    1.20673
   24 0.6600354331E+02  0.1006548760E+06   0.8229519422E+06    8.17598    1.25324
   23 0.6366594488E+02  0.1221641181E+06   0.8998885104E+06    7.36623    1.15371
   22 0.6049074803E+02  0.1445672812E+06   0.9523535731E+06    6.58761    1.11126
   21 0.5731555118E+02  0.1645095195E+06   0.9956667605E+06    6.05234    1.08507
   20 0.5414035433E+02  0.1830646490E+06   0.1039136847E+07    5.67634    1.06347
   19 0.5096515748E+02  0.2000700865E+06   0.1088062619E+07    5.43841    1.04123
   18 0.4778996063E+02  0.2128715330E+06   0.1134353062E+07    5.32882    1.02622
   17 0.4545236220E+02  0.2114102583E+06   0.1108666851E+07    5.24415    1.08109
   16 0.4311476378E+02  0.2324716135E+06   0.1179940820E+07    5.07563    1.03029
   15 0.3993956693E+02  0.2459410136E+06   0.1240234477E+07    5.04281    1.01565
   14 0.3676437008E+02  0.2540673437E+06   0.1294957577E+07    5.09691    1.00742
   13 0.3358917323E+02  0.2588442414E+06   0.1351678439E+07    5.22198    1.00000
   12 0.3041397638E+02  0.2598283826E+06   0.1400874352E+07    5.39154    1.00000
   11 0.2723877953E+02  0.2538639304E+06   0.1451750558E+07    5.71862    1.00000
   10 0.2490118110E+02  0.2354060688E+06   0.1485481390E+07    6.31029    1.01192
    9 0.2253484252E+02  0.2414101774E+06   0.1526462287E+07    6.32311    1.00000
    8 0.1930216535E+02  0.2293844248E+06   0.1580469971E+07    6.89005    1.00000
    7 0.1606948819E+02  0.2090429839E+06   0.1632265774E+07    7.80828    1.00000
    6 0.1283661417E+02  0.1826559648E+06   0.1680698989E+07    9.20145    1.00000
    5 0.9603740157E+01  0.1502049489E+06   0.1724162564E+07   11.47873    1.00000
    4 0.6371062992E+01  0.1131964240E+06   0.1760813894E+07   15.55538    1.00000
    3 0.3138385827E+01  0.5968762172E+05   0.1789084032E+07   29.97412    1.00000
    2 0.7610236220E+00  0.4349222332E+05   0.1804384019E+07   41.48751    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           21   ROD No.            2   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2863540213E+05   0.6482670852E+06   22.63866    1.54034
   27 0.7469153543E+02  0.3832133952E+05   0.5899043904E+06   15.39363    1.69448
   26 0.7151633858E+02  0.6914372538E+05   0.7771519380E+06   11.23966    1.28961
   25 0.6834114173E+02  0.8986859389E+05   0.8320660989E+06    9.25870    1.21351
   24 0.6600354331E+02  0.1006548713E+06   0.8114209619E+06    8.06142    1.25832
   23 0.6366594488E+02  0.1221641202E+06   0.8876437323E+06    7.26599    1.15802
   22 0.6049074803E+02  0.1445672830E+06   0.9392916965E+06    6.49726    1.11484
   21 0.5731555118E+02  0.1645095203E+06   0.9829124846E+06    5.97481    1.08773
   20 0.5414035433E+02  0.1830646490E+06   0.1027156065E+07    5.61089    1.06530
   19 0.5096515748E+02  0.2000700855E+06   0.1077053217E+07    5.38338    1.04243
   18 0.4778996063E+02  0.2128715319E+06   0.1124288435E+07    5.28153    1.02723
   17 0.4545236220E+02  0.2114102573E+06   0.1100288979E+07    5.20452    1.08199
   16 0.4311476378E+02  0.2324716108E+06   0.1171803433E+07    5.04063    1.03088
   15 0.3993956693E+02  0.2459410094E+06   0.1231407346E+07    5.00692    1.01599
   14 0.3676437008E+02  0.2540673397E+06   0.1286666863E+07    5.06427    1.00754
   13 0.3358917323E+02  0.2588442389E+06   0.1344192086E+07    5.19305    1.00000
   12 0.3041397638E+02  0.2598283818E+06   0.1394368149E+07    5.36650    1.00000
   11 0.2723877953E+02  0.2538639308E+06   0.1446445707E+07    5.69772    1.00000
   10 0.2490118110E+02  0.2354060691E+06   0.1481474660E+07    6.29327    1.01196
    9 0.2253484252E+02  0.2414101735E+06   0.1522980973E+07    6.30869    1.00000
    8 0.1930216535E+02  0.2293844271E+06   0.1577142211E+07    6.87554    1.00000
    7 0.1606948819E+02  0.2090429863E+06   0.1629600950E+07    7.79553    1.00000
    6 0.1283661417E+02  0.1826559666E+06   0.1678750508E+07    9.19078    1.00000
    5 0.9603740157E+01  0.1502049498E+06   0.1722898083E+07   11.47031    1.00000
    4 0.6371062992E+01  0.1131964241E+06   0.1760137024E+07   15.54940    1.00000
    3 0.3138385827E+01  0.5968762165E+05   0.1788848555E+07   29.97018    1.00000
    2 0.7610236220E+00  0.4349222328E+05   0.1804392564E+07   41.48771    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            2   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.2863539693E+05   0.6088449084E+06   21.26197    1.53892
