
 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1001093094E+05   0.1503876122E+07  150.22340    1.00000
   27 0.7469153543E+02  0.1433127604E+05   0.1503277558E+07  104.89489    1.00000
   26 0.7151633858E+02  0.2254110011E+05   0.1503454443E+07   66.69836    1.00000
   25 0.6834114173E+02  0.2944631878E+05   0.1505881075E+07   51.13988    1.00000
   24 0.6600354331E+02  0.3297163345E+05   0.1510827029E+07   45.82203    1.00000
   23 0.6366594488E+02  0.3982686274E+05   0.1514553944E+07   38.02845    1.00000
   22 0.6049074803E+02  0.4688934777E+05   0.1525422960E+07   32.53240    1.00000
   21 0.5731555118E+02  0.5303076282E+05   0.1536516967E+07   28.97407    1.00000
   20 0.5414035433E+02  0.5858306942E+05   0.1548288678E+07   26.42894    1.00000
   19 0.5096515748E+02  0.6349640738E+05   0.1561109025E+07   24.58579    1.00000
   18 0.4778996063E+02  0.6698150210E+05   0.1575195397E+07   23.51687    1.00000
   17 0.4545236220E+02  0.6617545532E+05   0.1590624470E+07   24.03647    1.00000
   16 0.4311476378E+02  0.7204122079E+05   0.1598380351E+07   22.18702    1.00000
   15 0.3993956693E+02  0.7537341450E+05   0.1617145949E+07   21.45512    1.00000
   14 0.3676437008E+02  0.7697234088E+05   0.1635881559E+07   21.25285    1.00000
   13 0.3358917323E+02  0.7749077088E+05   0.1654771799E+07   21.35444    1.00000
   12 0.3041397638E+02  0.7683933693E+05   0.1673796982E+07   21.78307    1.00000
   11 0.2723877953E+02  0.7416646626E+05   0.1692824439E+07   22.82466    1.00000
   10 0.2490118110E+02  0.6837489762E+05   0.1711463571E+07   25.03058    1.00000
    9 0.2253484252E+02  0.6922228175E+05   0.1719807419E+07   24.84471    1.00000
    8 0.1930216535E+02  0.6493977134E+05   0.1738083571E+07   26.76455    1.00000
    7 0.1606948819E+02  0.5844172672E+05   0.1755150499E+07   30.03249    1.00000
    6 0.1283661417E+02  0.5047147562E+05   0.1770568792E+07   35.08058    1.00000
    5 0.9603740157E+01  0.4109374560E+05   0.1783980556E+07   43.41246    1.00000
    4 0.6371062992E+01  0.3068254536E+05   0.1795002448E+07   58.50240    1.00000
    3 0.3138385827E+01  0.1831601808E+05   0.1803333399E+07   98.45663    1.00000
    2 0.7610236220E+00  0.1211831464E+05   0.1808372925E+07  149.22644    1.00000

 TIME =    0.0000000000000000     
