
 TIME =    0.0000000000000000     
 CHANNEL           12   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1136245472E+05   0.1358029077E+07  119.51899    1.00000
   27 0.7469153543E+02  0.1597298935E+05   0.1359303366E+07   85.10012    1.00000
   26 0.7151633858E+02  0.2476699673E+05   0.1362003359E+07   54.99267    1.00000
   25 0.6834114173E+02  0.3239917541E+05   0.1367249253E+07   42.20013    1.00000
   24 0.6600354331E+02  0.3613877897E+05   0.1374653137E+07   38.03817    1.00000
   23 0.6366594488E+02  0.4391779493E+05   0.1378799126E+07   31.39500    1.00000
   22 0.6049074803E+02  0.5173924930E+05   0.1389154296E+07   26.84914    1.00000
   21 0.5731555118E+02  0.5855278986E+05   0.1401102812E+07   23.92888    1.00000
   20 0.5414035433E+02  0.6473675795E+05   0.1414503704E+07   21.85009    1.00000
   19 0.5096515748E+02  0.7023971235E+05   0.1429400062E+07   20.35031    1.00000
   18 0.4778996063E+02  0.7415978605E+05   0.1445755966E+07   19.49515    1.00000
   17 0.4545236220E+02  0.7293633547E+05   0.1463263037E+07   20.06220    1.00000
   16 0.4311476378E+02  0.7988881784E+05   0.1471510862E+07   18.41948    1.00000
   15 0.3993956693E+02  0.8367169205E+05   0.1490055370E+07   17.80836    1.00000
   14 0.3676437008E+02  0.8553260666E+05   0.1509446335E+07   17.64761    1.00000
   13 0.3358917323E+02  0.8620686165E+05   0.1529290510E+07   17.73978    1.00000
   12 0.3041397638E+02  0.8558931055E+05   0.1549371643E+07   18.10240    1.00000
   11 0.2723877953E+02  0.8270139194E+05   0.1569414608E+07   18.97688    1.00000
   10 0.2490118110E+02  0.7589090989E+05   0.1588882872E+07   20.93641    1.00000
    9 0.2253484252E+02  0.7731429511E+05   0.1597362823E+07   20.66064    1.00000
    8 0.1930216535E+02  0.7261250606E+05   0.1615497616E+07   22.24820    1.00000
    7 0.1606948819E+02  0.6540398952E+05   0.1632551765E+07   24.96104    1.00000
    6 0.1283661417E+02  0.5652624635E+05   0.1647956906E+07   29.15384    1.00000
    5 0.9603740157E+01  0.4602087028E+05   0.1661336034E+07   36.09962    1.00000
    4 0.6371062992E+01  0.3435484933E+05   0.1672303594E+07   48.67737    1.00000
    3 0.3138385827E+01  0.2109716879E+05   0.1680575691E+07   79.65883    1.00000
    2 0.7610236220E+00  0.1486040783E+05   0.1685330752E+07  113.41080    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           13   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.1136244961E+05   0.1456715658E+07  128.20437    1.00000
   27 0.7469153543E+02  0.1597298415E+05   0.1457272207E+07   91.23356    1.00000
