
 TIME =    0.0000000000000000     
 CHANNEL           10   ROD No.            1   SURF. No.            1
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.8731774765E+04   0.1524579991E+07  174.60139    1.00000
   27 0.7469153543E+02  0.1236039080E+05   0.1524723221E+07  123.35558    1.00000
   26 0.7151633858E+02  0.1918598591E+05   0.1525778508E+07   79.52568    1.00000
   25 0.6834114173E+02  0.2510587625E+05   0.1528832422E+07   60.89540    1.00000
   24 0.6600354331E+02  0.2800533633E+05   0.1533969684E+07   54.77419    1.00000
   23 0.6366594488E+02  0.3402058638E+05   0.1537337273E+07   45.18844    1.00000
   22 0.6049074803E+02  0.4006557911E+05   0.1546927908E+07   38.60990    1.00000
   21 0.5731555118E+02  0.4531525877E+05   0.1557249744E+07   34.36480    1.00000
   20 0.5414035433E+02  0.5005922042E+05   0.1568546220E+07   31.33381    1.00000
   19 0.5096515748E+02  0.5425642439E+05   0.1580959934E+07   29.13867    1.00000
   18 0.4778996063E+02  0.5721808069E+05   0.1594560047E+07   27.86811    1.00000
   17 0.4545236220E+02  0.5623776649E+05   0.1609231327E+07   28.61478    1.00000
   16 0.4311476378E+02  0.6152614020E+05   0.1616350517E+07   26.27096    1.00000
   15 0.3993956693E+02  0.6436265364E+05   0.1633184098E+07   25.37472    1.00000
   14 0.3676437008E+02  0.6570750108E+05   0.1650447182E+07   25.11809    1.00000
   13 0.3358917323E+02  0.6612872677E+05   0.1667975493E+07   25.22316    1.00000
   12 0.3041397638E+02  0.6555029369E+05   0.1685650054E+07   25.71537    1.00000
   11 0.2723877953E+02  0.6323417979E+05   0.1703282921E+07   26.93611    1.00000
   10 0.2490118110E+02  0.5798623942E+05   0.1720438689E+07   29.66978    1.00000
    9 0.2253484252E+02  0.5897747718E+05   0.1728007254E+07   29.29944    1.00000
    8 0.1930216535E+02  0.5531003505E+05   0.1744594816E+07   31.54210    1.00000
    7 0.1606948819E+02  0.4974755137E+05   0.1760119115E+07   35.38102    1.00000
    6 0.1283661417E+02  0.4293337913E+05   0.1774141501E+07   41.32313    1.00000
    5 0.9603740157E+01  0.3490795144E+05   0.1786324263E+07   51.17242    1.00000
    4 0.6371062992E+01  0.2602667417E+05   0.1796311784E+07   69.01811    1.00000
    3 0.3138385827E+01  0.1591890156E+05   0.1803834731E+07  113.31402    1.00000
    2 0.7610236220E+00  0.1111775134E+05   0.1808449412E+07  162.66324    1.00000

 TIME =    0.0000000000000000     
 CHANNEL           11   ROD No.            1   SURF. No.            2
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.8731775577E+04   0.1541305534E+07  176.51685    1.00000
   27 0.7469153543E+02  0.1236039220E+05   0.1541417429E+07  124.70619    1.00000
   26 0.7151633858E+02  0.1918598803E+05   0.1542421421E+07   80.39312    1.00000
   25 0.6834114173E+02  0.2510587895E+05   0.1545343412E+07   61.55305    1.00000
   24 0.6600354331E+02  0.2800533874E+05   0.1550270335E+07   55.35624    1.00000
   23 0.6366594488E+02  0.3402058861E+05   0.1553512212E+07   45.66388    1.00000
   22 0.6049074803E+02  0.4006558083E+05   0.1562604342E+07   39.00117    1.00000
   21 0.5731555118E+02  0.4531526121E+05   0.1572389011E+07   34.69888    1.00000
   20 0.5414035433E+02  0.5005922271E+05   0.1583088238E+07   31.62431    1.00000
   19 0.5096515748E+02  0.5425642600E+05   0.1594862354E+07   29.39490    1.00000
   18 0.4778996063E+02  0.5721808240E+05   0.1607782175E+07   28.09920    1.00000
   17 0.4545236220E+02  0.5623776780E+05   0.1621731898E+07   28.83706    1.00000
   16 0.4311476378E+02  0.6152614133E+05   0.1628488909E+07   26.46824    1.00000
   15 0.3993956693E+02  0.6436265427E+05   0.1644284447E+07   25.54718    1.00000
   14 0.3676437008E+02  0.6570750165E+05   0.1660532088E+07   25.27158    1.00000
   13 0.3358917323E+02  0.6612872722E+05   0.1677037826E+07   25.36020    1.00000
   12 0.3041397638E+02  0.6555029410E+05   0.1693690477E+07   25.83803    1.00000
   11 0.2723877953E+02  0.6323418022E+05   0.1710309973E+07   27.04724    1.00000
   10 0.2490118110E+02  0.5798623973E+05   0.1726478568E+07   29.77394    1.00000
    9 0.2253484252E+02  0.5897747771E+05   0.1733595319E+07   29.39419    1.00000
    8 0.1930216535E+02  0.5531003584E+05   0.1749024949E+07   31.62220    1.00000
    7 0.1606948819E+02  0.4974755223E+05   0.1763514745E+07   35.44928    1.00000
    6 0.1283661417E+02  0.4293337990E+05   0.1776598198E+07   41.38035    1.00000
    5 0.9603740157E+01  0.3490795218E+05   0.1787958546E+07   51.21923    1.00000
    4 0.6371062992E+01  0.2602667470E+05   0.1797265243E+07   69.05474    1.00000
    3 0.3138385827E+01  0.1591890182E+05   0.1804268862E+07  113.34129    1.00000
    2 0.7610236220E+00  0.1111775125E+05   0.1808561327E+07  162.67330    1.00000

 TIME =    0.0000000000000000     
 CHANNEL            1   ROD No.            1   SURF. No.            3
 NODE  AXIAL POS. (in) Q" (BTU/hr-ft**2) CHF (BTU/hr-ft**2)       DNBR  TONG FAC.
   28 0.7750964567E+02  0.8731778944E+04   0.1437326320E+07  164.60865    1.00000
   27 0.7469153543E+02  0.1236039506E+05   0.1437770428E+07  116.32075    1.00000
   26 0.7151633858E+02  0.1918599032E+05   0.1439003637E+07   75.00283    1.00000
   25 0.6834114173E+02  0.2510588120E+05   0.1442179341E+07   57.44388    1.00000
   24 0.6600354331E+02  0.2800534123E+05   0.1447189481E+07   51.67548    1.00000
   23 0.6366594488E+02  0.3402059134E+05   0.1450376282E+07   42.63231    1.00000
   22 0.6049074803E+02  0.4006558436E+05   0.1459014965E+07   36.41567    1.00000
   21 0.5731555118E+02  0.4531526516E+05   0.1468345302E+07   32.40288    1.00000
   20 0.5414035433E+02  0.5005922706E+05   0.1478511849E+07   29.53525    1.00000
   19 0.5096515748E+02  0.5425643063E+05   0.1489636600E+07   27.45548    1.00000
   18 0.4778996063E+02  0.5721808712E+05   0.1501789281E+07   26.24676    1.00000
   17 0.4545236220E+02  0.5623777184E+05   0.1514877814E+07   26.93702    1.00000
   16 0.4311476378E+02  0.6152614512E+05   0.1521176800E+07   24.72407    1.00000
